"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","23208","3600","14","05","20","40","","GP","D","1","","GRPIR","Y"
"","23208","3600","14","07","16","40","","GP","D","1","","GRPIR","Y"
"","23208","3600","14","05","18","40","","GP","D","1","","GRPIR","Y"
"","23206","3600","06","03","12","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","03","14","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","03","16","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","03","18","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","03","82","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","03","84","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","03","86","40","","GP","D","1","","AUSYD","Y"
"","23206","4200","06","03","88","45","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","05","12","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","05","14","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","05","16","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","05","18","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","05","82","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","05","84","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","05","86","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","05","88","40","","GP","D","1","","CNNGB","Y"
"","23207","2200","11","05","82","20","","GP","D","1","","CNJIA","Y"
"","23207","2200","11","05","84","20","","GP","D","1","","CNJIA","Y"
"","23207","2200","11","07","82","20","","GP","D","1","","CNJIA","Y"
"","23207","2200","11","07","84","20","","GP","D","1","","CNNGB","Y"
"","23207","2200","11","13","82","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","11","13","84","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","11","13","86","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","11","15","82","20","","GP","D","1","","IDSUB","Y"
"","23207","2200","11","15","84","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","11","17","82","20","","GP","D","1","","CNFOC","Y"
"","23207","2200","11","17","84","20","","GP","D","1","","CNNSA","Y"
"","23208","2200","13","08","08","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","08","10","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","08","12","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","08","14","20","","GP","D","1","","TREYP","Y"
"","23208","2200","13","06","04","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","06","06","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","06","08","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","06","10","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","06","12","20","","GP","D","1","","GRPIR","Y"
"","23208","3600","14","07","18","40","","GP","D","1","","GRPIR","Y"
"","23208","3600","14","07","20","40","","GP","D","1","","GRPIR","Y"
"","23208","3600","14","09","82","40","","RF","D","1","","HKHKG","Y"
"","23208","3600","14","09","84","40","","GP","D","1","","HKHKG","Y"
"","23208","3600","14","09","86","40","","GP","D","1","","CNJIA","Y"
"","23208","3600","14","11","12","40","","GP","D","1","","CNJIA","Y"
"","23208","3600","14","11","14","40","","GP","D","1","","CNJIA","Y"
"","23208","3600","14","11","18","40","","GP","D","1","","HKHKG","Y"
"","23208","3600","14","11","16","40","","GP","D","1","","HKHKG","Y"
"","23206","3600","06","07","14","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","07","16","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","07","18","40","","GP","D","1","","CNNGB","Y"
"","23208","2200","13","04","04","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","04","06","20","","GP","D","1","","ROCND","Y"
"","23208","2200","13","04","08","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","04","10","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","04","12","20","","GP","D","1","","BGVAR","Y"
"","23208","2200","13","04","82","20","","GP","D","1","","TRIZM","Y"
"","23208","2200","13","02","02","20","","GP","D","1","","TRIST","Y"
"","23208","2200","13","02","04","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","02","06","20","","GP","D","1","","ROCND","Y"
"","23208","2200","13","02","08","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","02","10","20","","GP","D","1","","TREYP","Y"
"","23208","2200","13","02","12","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","03","04","20","","GP","D","1","","GRPIR","Y"
"","23207","2200","09","16","82","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","09","16","84","20","","GP","D","1","","SGSIN","Y"
"","23207","3600","10","04","06","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","04","08","40","","GP","D","1","","CNYTN","Y"
"","23206","3600","06","10","82","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","12","84","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","12","86","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","12","88","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","10","16","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","10","18","40","","GP","D","1","","CNNGB","Y"
"","23207","3600","10","04","10","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","04","12","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","04","14","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","04","16","40","","GP","D","1","","CNYTN","Y"
"","23208","2200","13","03","08","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","03","10","20","","GP","D","1","","GRPIR","Y"
"","23208","2200","13","03","06","20","","GP","D","1","","GRPIR","Y"
"","23206","3600","06","07","82","40","","GP","D","1","","CNNGB","Y"
"","23206","3600","06","07","84","40","","GP","D","1","","CNNGB","Y"
"","23207","2200","09","16","86","20","","GP","D","1","","MMRGN","Y"
"","23207","2200","09","05","82","20","","GP","D","1","","CNNGB","Y"
"","23207","2200","09","05","84","20","","GP","D","1","","IDJKT","Y"
"","23207","2200","09","13","82","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","09","13","84","20","","GP","D","1","","SGSIN","Y"
"","23207","3600","10","04","18","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","02","04","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","02","06","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","02","08","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","02","10","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","02","12","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","02","14","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","02","16","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","02","18","40","","GP","D","1","","CNYTN","Y"
"","23207","3600","10","03","04","40","","GP","D","1","","CNNGB","Y"
"","23207","3600","10","03","06","40","","GP","D","1","","CNNGB","Y"
"","23207","3600","10","05","08","40","","GP","D","1","","CNNGB","Y"
"","23207","3600","10","05","10","40","","GP","D","1","","CNNGB","Y"
"","23207","3600","10","05","12","40","","GP","D","1","","CNNGB","Y"
"","23207","3600","10","05","14","40","","GP","D","1","","CNNGB","Y"
"","23207","3600","10","05","16","40","","GP","D","1","","CNNGB","Y"
"","23207","3600","10","05","18","40","","GP","D","1","","CNNGB","Y"
"","23207","2200","09","13","86","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","09","15","82","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","09","15","84","20","","GP","D","1","","SGSIN","Y"
"","23207","2200","09","17","82","20","","GP","D","1","","CNFOC","Y"
"","23207","2200","09","17","84","20","","GP","D","1","","CNFOC","Y"
"","23207","3600","10","16","18","40","","OT","D","1","","AUFRE","Y"
"","23207","3600","10","14","16","40","","OT","D","1","","AUFRE","Y"
"","23207","3600","10","14","82","40","","GP","D","1","","SGSIN","Y"
"","23207","3600","10","14","84","40","","GP","D","1","","SGSIN","Y"
"","23207","3600","10","09","12","40","","OT","D","1","","AUFRE","Y"
"","23207","3600","10","09","82","40","","GP","D","1","","SGSIN","Y"
"","23207","3600","10","09","84","40","","GP","D","1","","MYPGU","Y"
"","23207","4200","10","09","86","45","","GP","D","1","","SGSIN","Y"
"","23207","3600","10","11","14","40","","OT","D","1","","AUFRE","Y"
"","23207","3600","10","11","82","40","","GP","D","1","","SGSIN","Y"
"","23207","3600","10","11","84","40","","GP","D","1","","SGSIN","Y"
"","23207","4200","10","11","86","45","","GP","D","1","","SGSIN","Y"
"","23207","3600","10","13","16","40","","OT","D","1","","AUFRE","Y"
"","23207","3600","10","15","18","40","","OT","D","1","","AUFRE","Y"
"","23207","2200","11","18","82","20","","GP","D","1","","THBKK","Y"
