"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","43046","2200","07","14","84","20","","GP","L","2","","EGPSD","N"
"","43046","2200","07","13","82","20","","GP","L","1","","EGPSD","N"
"","43046","2200","05","14","86","20","","GP","L","1","","EGPSD","N"
"","43046","2200","07","14","82","20","","GP","L","1","","EGPSD","N"
"","43046","2200","07","13","84","20","","GP","L","1","","EGPSD","N"
"","43046","2200","07","13","86","20","","GP","L","1","","EGPSD","N"
"","43052","3600","30","02","84","40","","GP","L","1","","ITGOA","N"
"","43052","3800","30","02","86","40","","GP","L","1","","ITGOA","N"
"","43053","3800","34","16","16","40","","GP","L","1","","ILASH","N"
"","43053","3800","34","12","18","40","","GP","L","1","","ILASH","N"
"","43051","2200","25","04","04","20","","GP","L","2","","EGPSD","N"
"","43051","3600","26","06","02","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","08","02","40","","GP","L","1","","EGPSD","N"
"","43055","3600","42","07","84","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","05","84","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","01","82","40","","GP","L","1","","ESBCN","N"
"","43055","4000","42","05","82","40","","RF","L","1","","ESBCN","N"
"","43055","3800","42","03","84","40","","GP","L","1","","ESBCN","N"
"","43055","3800","42","01","84","40","","GP","L","1","","ESBCN","N"
"","43057","2000","49","11","06","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","11","06","20","","GP","L","2","","ILASH","N"
"","43055","3600","42","03","88","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","07","86","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","01","86","40","","RF","L","1","","ESBCN","N"
"","43057","2200","51","11","02","20","","GP","L","2","","ILASH","N"
"","43055","3800","42","07","14","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","07","16","40","","GP","L","1","","ESBCN","N"
"","43053","3600","34","01","86","40","","GP","L","1","","ESBCN","N"
"","43055","4000","42","01","02","40","","GP","L","1","","ESBCN","N"
"","43055","4000","42","01","04","40","","GP","L","1","","ESBCN","N"
"","43055","3800","42","01","06","40","","GP","L","1","","ESBCN","N"
"","43055","4000","42","01","08","40","","GP","L","1","","ESBCN","N"
"","43055","4000","42","01","10","40","","GP","L","1","","ESBCN","N"
"","43055","3800","42","01","12","40","","GP","L","1","","ESBCN","N"
"","43055","4000","42","01","14","40","","GP","L","1","","ESBCN","N"
"","43055","4000","42","01","16","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","07","18","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","07","88","40","","RF","L","1","","ESBCN","N"
"","43051","3600","26","06","04","40","","GP","L","1","","EGPSD","N"
"","43055","3600","42","07","90","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","01","88","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","07","92","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","05","92","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","05","90","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","03","92","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","01","92","40","","RF","L","1","","ESBCN","N"
"","43055","3800","42","07","12","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","07","82","40","","RF","L","1","","ESBCN","N"
"","43050","3600","22","04","14","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","06","14","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","08","14","40","","GP","L","1","","ESBCN","N"
"","43053","3600","34","03","90","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","03","90","40","","RF","L","1","","ESBCN","N"
"","43050","3800","22","08","08","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","06","08","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","04","10","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","06","10","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","08","10","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","04","12","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","06","12","40","","GP","L","1","","ESBCN","N"
"","43050","3600","22","08","12","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","03","14","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","05","16","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","03","16","40","","GP","L","1","","ESBCN","N"
"","43057","2200","49","11","02","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","14","02","20","","GP","L","2","","ILASH","N"
"","43057","2200","49","14","02","20","","GP","L","2","","ILASH","N"
"","43057","2200","49","11","04","20","","GP","L","2","","ILASH","N"
"","43057","2000","51","11","04","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","14","04","20","","GP","L","2","","ILASH","N"
"","43057","2000","49","14","04","20","","GP","L","2","","ILASH","N"
"","43057","2200","49","16","04","20","","GP","L","2","","ILASH","N"
"","43057","2000","51","16","04","20","","GP","L","2","","ILASH","N"
"","43050","3800","22","08","06","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","05","12","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","03","12","40","","GP","L","1","","ESBCN","N"
"","43055","3600","42","05","14","40","","GP","L","1","","ESBCN","N"
"","43050","3800","22","04","08","40","","GP","L","1","","ESBCN","N"
"","43057","2200","49","14","06","20","","GP","L","2","","ILASD","N"
"","43057","2200","51","14","06","20","","GP","L","2","","ILASH","N"
"","43055","3600","42","01","90","40","","RF","L","1","","ESBCN","N"
"","43055","3600","42","05","88","40","","RF","L","1","","ESBCN","N"
"","43055","3800","42","03","86","40","","GP","L","1","","ESBCN","N"
"","43053","3600","34","03","88","40","","RF","L","1","","ESBCN","N"
"","43053","3600","34","05","88","40","","RF","L","1","","ESBCN","N"
"","43053","3600","34","01","88","40","","RF","L","1","","ESBCN","N"
"","43055","3800","42","05","86","40","","GP","L","1","","ESBCN","N"
"","43053","3600","34","05","90","40","","RF","L","1","","ESBCN","N"
"","43053","3600","34","01","90","40","","RF","L","1","","ESBCN","N"
"","43046","3600","06","09","16","40","","HC","L","1","","ITGOA","N"
"","43046","3600","06","11","16","40","","HC","L","1","","ITGOA","N"
"","43051","3800","26","06","12","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","06","14","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","05","14","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","03","14","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","01","14","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","02","14","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","04","14","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","08","12","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","07","14","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","08","14","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","07","16","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","05","16","40","","GP","L","1","","EGPSD","N"
"","43051","4000","26","03","16","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","01","16","40","","GP","L","1","","EGPSD","N"
"","43051","3800","26","02","16","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","04","16","40","","GP","L","1","","EGPSD","N"
"","43046","3600","06","10","16","40","","HC","L","1","","ITGOA","N"
"","43046","3600","06","12","16","40","","HC","L","1","","ITGOA","N"
"","43057","2200","49","15","08","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","11","08","20","","GP","L","2","","ILASH","N"
"","43051","3600","26","06","16","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","08","16","40","","GP","L","1","","EGPSD","N"
"","43064","3600","78","15","90","40","","GP","L","1","","ILASH","N"
"","43047","3600","10","02","02","40","","GP","L","1","","ILASH","N"
"","43047","3600","10","02","04","40","","GP","L","1","","ILASH","N"
"","43046","2200","07","15","86","20","","GP","L","1","","ITGOA","N"
"","43053","2200","33","15","08","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","11","08","20","","GP","L","2","","ILASH","N"
"","43053","2200","33","11","08","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","12","08","20","","GP","L","2","","ILASH","N"
"","43053","2200","33","12","08","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","15","10","20","","GP","L","2","","ILASH","N"
"","43053","2200","33","12","10","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","12","10","20","","GP","L","2","","ILASH","N"
"","43047","2200","09","16","84","20","","GP","L","2","","ILASH","N"
"","43047","2200","11","16","84","20","","GP","L","2","","ILASH","N"
"","43047","2200","09","16","86","20","","GP","L","1","","ILASH","N"
"","43047","2200","09","18","82","20","","GP","L","1","","ILASH","N"
"","43053","2000","33","15","10","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","13","08","20","","GP","L","1","","ILASH","N"
"","43049","2000","19","09","06","20","","GP","L","2","","ILASH","N"
"","43049","2200","17","09","06","20","","GP","L","2","","ILASH","N"
"","43049","2200","19","10","06","20","","GP","L","2","","ILASH","N"
"","43049","2000","17","10","06","20","","GP","L","2","","ILASH","N"
"","43049","2200","19","11","08","20","","GP","L","2","","ILASH","N"
"","43049","2200","17","11","08","20","","GP","L","2","","ILASH","N"
"","43049","2200","19","09","08","20","","GP","L","2","","ILASH","N"
"","43049","2200","17","09","08","20","","GP","L","2","","ILASH","N"
"","43049","2200","19","10","08","20","","GP","L","2","","ILASH","N"
"","43049","2200","17","10","08","20","","GP","L","2","","ILASH","N"
"","43049","2200","19","12","08","20","","GP","L","2","","ILASH","N"
"","43049","2200","17","12","08","20","","GP","L","2","","ILASH","N"
"","43049","2200","19","13","10","20","","GP","L","2","","ILASH","N"
"","43049","2000","17","13","10","20","","GP","L","2","","ILASH","N"
"","43049","2200","19","10","10","20","","GP","L","2","","ILASH","N"
"","43049","2200","17","10","10","20","","GP","L","2","","ILASH","N"
"","43049","2200","19","14","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","15","08","20","","GP","L","2","","ILASH","N"
"","43047","2200","09","18","84","20","","GP","L","1","","ILASH","N"
"","43047","2200","11","16","86","20","","GP","L","1","","ILASH","N"
"","43047","2000","11","18","86","20","","GP","L","1","","ILASH","N"
"","43049","2200","19","09","10","20","","GP","L","1","","ILASH","N"
"","43049","2000","19","12","10","20","","GP","L","1","","ILASH","N"
"","43057","2200","51","16","06","20","","GP","L","2","","ILASD","N"
"","43057","2200","49","16","06","20","","GP","L","2","","ILASD","N"
"","43049","2200","19","11","10","20","","GP","L","1","","ILASH","N"
"","43057","2200","49","11","08","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","14","08","20","","GP","L","2","","ILASD","N"
"","43057","2200","49","14","08","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","16","08","20","","GP","L","2","","ILASH","N"
"","43057","2200","49","16","08","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","15","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","49","15","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","11","10","20","","GP","L","2","","ILASH","N"
"","43049","4000","18","13","88","40","","GP","L","1","","ILASH","N"
"","43049","4000","18","11","88","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","09","88","40","","GP","L","1","","ILASH","N"
"","43049","3600","18","13","90","40","","GP","L","1","","ILASH","N"
"","43049","3600","18","11","90","40","","HC","L","1","","ILASH","N"
"","43051","3600","26","08","04","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","06","06","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","08","06","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","06","08","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","08","08","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","02","10","40","","HC","L","1","","EGPSD","N"
"","43051","3600","26","04","10","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","06","10","40","","HC","L","1","","EGPSD","N"
"","43051","3600","26","01","10","40","","HC","L","1","","EGPSD","N"
"","43049","2200","17","14","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","49","11","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","49","14","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","14","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","16","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","49","16","10","20","","GP","L","2","","ILASH","N"
"","43057","2200","51","15","06","20","","GP","L","1","","ILASH","N"
"","43053","2200","35","14","02","20","","GP","L","2","","ILASH","N"
"","43053","2200","33","14","02","20","","GP","L","2","","ILASH","N"
"","43053","2200","33","15","04","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","15","04","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","13","04","20","","GP","L","2","","ILASH","N"
"","43053","2200","33","13","04","20","","GP","L","2","","ILASH","N"
"","43053","2000","35","11","04","20","","GP","L","2","","ILASH","N"
"","43053","2000","33","11","04","20","","GP","L","2","","ILASH","N"
"","43053","2000","35","12","04","20","","GP","L","2","","ILASH","N"
"","43053","2000","33","12","04","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","14","04","20","","GP","L","2","","ILASH","N"
"","43053","2200","33","14","04","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","15","06","20","","GP","L","2","","ILASH","N"
"","43053","2200","33","15","06","20","","GP","L","2","","ILASH","N"
"","43053","2200","35","13","06","20","","GP","L","2","","ILASD","N"
"","43053","2200","33","13","06","20","","GP","L","2","","ILASD","N"
"","43053","2200","35","11","06","20","","GP","L","2","","ILASD","N"
"","43053","2200","33","11","06","20","","GP","L","2","","ILASD","N"
"","43053","2200","35","12","06","20","","GP","L","2","","ILASD","N"
"","43053","2200","33","12","06","20","","GP","L","2","","ILASD","N"
"","43053","2200","35","14","06","20","","GP","L","2","","ILASD","N"
"","43053","2200","33","14","06","20","","GP","L","2","","ILASD","N"
"","43053","2200","35","15","08","20","","GP","L","2","","ILASH","N"
"","43057","3800","50","15","12","40","","GP","L","1","","ILASH","N"
"","43057","3600","50","11","12","40","","GP","L","1","","ILASH","N"
"","43057","3800","50","15","14","40","","GP","L","1","","ILASH","N"
"","43051","3600","26","05","10","40","","GP","L","1","","EGPSD","N"
"","43051","3600","26","03","10","40","","GP","L","1","","EGPSD","N"
"","43057","3800","50","13","14","40","","GP","L","1","","ILASH","N"
"","43057","3800","50","11","14","40","","GP","L","1","","ILASH","N"
"","43057","3600","50","15","16","40","","GP","L","1","","ILASH","N"
"","43057","3800","50","13","16","40","","GP","L","1","","ILASH","N"
"","43057","3800","50","11","16","40","","GP","L","1","","ILASH","N"
"","43057","3600","50","13","18","40","","GP","L","1","","ILASH","N"
"","43049","3600","18","13","82","40","","HC","L","1","","ILASH","N"
"","43049","3600","18","11","82","40","","HC","L","1","","ILASH","N"
"","43049","3950","18","09","82","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","10","82","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","12","82","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","14","82","40","","GP","L","1","","ILASH","N"
"","43049","3600","18","10","84","40","","GP","L","1","","ILASH","N"
"","43049","3600","18","12","84","40","","GP","L","1","","ILASH","N"
"","43049","3600","18","14","84","40","","GP","L","1","","ILASH","N"
"","43049","3900","18","13","84","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","11","84","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","10","86","40","","GP","L","1","","ILASH","N"
"","43049","4000","18","12","86","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","14","86","40","","GP","L","1","","ILASH","N"
"","43049","4000","18","12","88","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","14","88","40","","GP","L","1","","ILASH","N"
"","43049","4000","18","10","88","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","12","90","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","14","90","40","","GP","L","1","","ILASH","N"
"","43049","3900","18","09","84","40","","GP","L","1","","ILASH","N"
"","43049","3800","18","13","86","40","","GP","L","1","","ILASH","N"
