"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","46303","3600","74","04","88","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","06","88","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","01","88","40","","GP","L","1","","EGPSD","N"
"","46302","4000","70","03","16","40","","GP","L","1","","ILASH","N"
"","46302","3800","70","05","16","40","","GP","L","1","","ILASH","N"
"","46302","3600","70","07","16","40","","GP","L","1","","ILASH","N"
"","46302","3800","70","04","18","40","","GP","L","1","","ILASH","N"
"","46302","3800","70","02","18","40","","GP","L","1","","ILASH","N"
"","46292","2200","31","04","10","20","","GP","L","2","","ITGOA","N"
"","46292","2200","31","02","04","20","","GP","L","2","","ITGOA","N"
"","46292","2200","31","02","06","20","","GP","L","2","","ITGOA","N"
"","46287","2200","09","17","82","20","","GP","L","1","","ILASH","N"
"","46287","2200","09","17","84","20","","GP","L","1","","ILASH","N"
"","46287","2200","09","18","82","20","","GP","L","2","","ILASH","N"
"","46297","3600","50","12","84","40","","GP","L","1","","ILASH","N"
"","46297","3600","50","14","84","40","","GP","L","1","","ILASD","N"
"","46297","3600","50","14","86","40","","GP","L","1","","ILASH","N"
"","46297","3600","50","12","86","40","","GP","L","1","","ILASH","N"
"","46297","3600","50","10","84","40","","GP","L","1","","ILASH","N"
"","46297","3600","50","10","86","40","","GP","L","1","","ILASH","N"
"","46303","3600","74","08","16","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","08","82","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","06","16","40","","GP","L","1","","EGPSD","N"
"","46298","3600","54","08","14","40","","GP","L","1","","EGPSD","N"
"","46298","3600","54","08","16","40","","GP","L","1","","EGPSD","N"
"","46298","3600","54","08","18","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","04","14","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","02","14","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","04","16","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","02","16","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","01","12","40","","HC","L","1","","EGPSD","N"
"","46303","3600","74","03","12","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","01","14","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","03","14","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","01","16","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","03","16","40","","GP","L","1","","EGPSD","N"
"","46293","3600","34","07","14","40","","GP","L","1","","ESBCN","N"
"","46294","2200","37","05","02","20","","GP","L","2","","ITGOA","N"
"","46294","2200","39","05","02","20","","GP","L","2","","ITGOA","N"
"","46298","2200","53","06","04","20","","GP","L","2","","EGPSD","N"
"","46298","2200","55","06","04","20","","GP","L","2","","EGPSD","N"
"","46298","2200","53","04","04","20","","GP","L","2","","EGPSD","N"
"","46298","2200","55","04","04","20","","GP","L","2","","EGPSD","N"
"","46295","2200","43","06","10","20","","GP","L","2","","ESBCN","N"
"","46295","2200","43","04","08","20","","GP","L","2","","ESBCN","N"
"","46295","2200","41","04","08","20","","GP","L","2","","ESBCN","N"
"","46295","2200","41","04","10","20","","GP","L","2","","ESBCN","N"
"","46295","2000","43","04","10","20","","GP","L","2","","ESBCN","N"
"","46291","3600","26","18","82","40","","GP","L","1","","ILASH","N"
"","46291","3600","26","16","82","40","","GP","L","1","","ILASH","N"
"","46287","2000","09","15","88","20","","GP","L","2","","ILASH","N"
"","46287","2000","11","15","88","20","","GP","L","2","","ILASH","N"
"","46288","3600","14","01","88","40","","GP","L","1","","FRFOS","N"
"","46288","3600","14","03","88","40","","GP","L","1","","XXXXX","N"
"","46288","3600","14","05","88","40","","GP","L","1","","XXXXX","N"
"","46288","3600","14","07","88","40","","GP","L","1","","XXXXX","N"
"","46302","2200","71","03","12","20","","GP","L","2","","ILASD","N"
"","46302","2200","69","03","12","20","","GP","L","2","","ILASD","N"
"","46303","3600","74","05","12","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","07","12","40","","GP","L","1","","EGPSD","N"
"","46302","3800","70","05","84","40","","GP","L","1","","ILASH","N"
"","46302","3800","70","01","84","40","","GP","L","1","","ILASH","N"
"","46302","3800","70","03","84","40","","GP","L","1","","ILASH","N"
"","46302","3600","70","07","84","40","","HC","L","1","","ILASH","N"
"","46302","3800","70","03","88","40","","GP","L","1","","ILASH","N"
"","46302","3600","70","01","86","40","","GP","L","1","","ILASH","N"
"","46298","3600","54","08","12","40","","GP","L","1","","EGPSD","N"
"","46298","3600","54","04","82","40","","GP","L","1","","EGPSD","N"
"","46298","3600","54","02","82","40","","HC","L","1","","EGPSD","N"
"","46292","3600","30","02","18","40","","GP","L","1","","ITGOA","N"
"","46288","3800","14","03","18","40","","GP","L","1","","FRFOS","N"
"","46288","3600","14","05","12","40","","GP","L","1","","FRFOS","N"
"","46288","3600","14","07","10","40","","GP","L","1","","FRFOS","N"
"","46288","3800","14","01","14","40","","GP","L","1","","FRFOS","N"
"","46288","3800","14","03","14","40","","GP","L","1","","FRFOS","N"
"","46288","4000","14","01","16","40","","GP","L","1","","FRFOS","N"
"","46288","3800","14","03","16","40","","GP","L","1","","FRFOS","N"
"","46288","4000","14","08","84","40","","GP","L","1","","FRFOS","N"
"","46303","3600","74","05","14","40","","GP","L","1","","EGPSD","N"
"","46303","3600","74","07","14","40","","GP","L","1","","EGPSD","N"
"","46298","3600","54","04","84","40","","GP","L","1","","EGPSD","N"
"","46298","3600","54","02","84","40","","GP","L","1","","EGPSD","N"
"","46298","3600","54","04","86","40","","GP","L","1","","EGPSD","N"
"","46304","3600","78","15","82","40","","GP","L","1","","FRFOS","N"
