"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","20245","2200","01","16","82","20","","GP","D","1","","CNSHA","N"
"","20245","2200","01","16","84","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","14","88","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","12","82","20","","GP","D","1","","PECLL","N"
"","20247","2200","09","12","88","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","10","82","20","","GP","D","1","","PECLL","N"
"","20247","2200","09","10","84","20","","GP","D","1","","PECLL","N"
"","20247","2200","09","10","86","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","10","88","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","09","82","20","","GP","D","1","","PECLL","N"
"","20247","2200","09","12","84","20","","GP","D","1","","COBUN","N"
"","20247","2200","09","12","86","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","09","86","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","09","84","20","","GP","D","1","","PECLL","N"
"","20247","2200","09","09","88","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","11","82","20","","GP","D","1","","PECLL","N"
"","20247","2200","09","11","84","20","","GP","D","1","","PECLL","N"
"","20247","2200","09","11","86","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","11","88","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","13","82","20","","GP","D","1","","PECLL","N"
"","20247","2200","09","13","84","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","13","86","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","15","82","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","17","82","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","13","88","20","","GP","D","1","","CNSHA","N"
"","20247","2200","09","17","84","20","","GP","D","1","","CNSHA","N"
"","20247","3600","10","09","16","40","","GP","D","1","","MXZLO","N"
"","20247","3600","10","09","14","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","14","16","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","12","14","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","16","18","40","","GP","D","1","","CNLYG","N"
"","20247","2200","09","17","86","20","","GP","D","1","","CNSHA","N"
"","20247","3600","10","12","16","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","10","12","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","10","14","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","10","16","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","09","12","40","","GP","D","1","","COBUN","N"
"","20247","3600","10","11","14","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","11","16","40","","GP","D","1","","COBUN","N"
"","20247","2200","11","18","84","20","","GP","D","1","","CNSHA","N"
"","20247","2200","11","10","84","20","","TK","D","1","","CNSHA","N"
"","20247","2200","11","10","82","20","","TK","D","1","","CNSHA","N"
"","20247","3600","10","13","16","40","","GP","D","1","","PECLL","N"
"","20247","3600","10","13","18","40","","GP","D","1","","CNSHA","N"
"","20247","3600","10","15","18","40","","GP","D","1","","PECLL","N"
"","20247","2200","11","18","82","20","","GP","D","1","","CNSHA","N"
"","20247","2200","11","14","14","20","","GP","D","1","","CNSHA","N"
"","20247","2200","11","14","82","20","","GP","D","1","","PECLL","N"
"","20247","2200","11","14","84","20","","GP","D","1","","CNSHA","N"
"","20247","2200","11","14","86","20","","GP","D","1","","CNSHA","N"
"","20247","2200","11","14","88","20","","GP","D","1","","CNSHA","N"
