"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","21611","3600","26","03","14","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","03","84","40","","RF","D","3","","CNSHA","N"
"","21611","3600","26","05","86","40","","GP","D","3","","PECLL","N"
"","21611","3600","26","07","84","40","","GP","D","3","","PECLL","N"
"","21611","3600","26","01","08","40","","GP","D","3","","CNHSI","N"
"","21611","3600","26","01","12","40","","GP","D","3","","CNHSI","N"
"","21611","3600","26","05","12","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","05","84","40","","RF","D","3","","CNSHA","N"
"","21611","3600","26","07","86","40","","GP","D","3","","PECLL","N"
"","21611","3600","26","07","82","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","11","82","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","13","82","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","14","84","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","14","86","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","11","86","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","06","82","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","13","86","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","06","86","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","09","82","40","","GP","D","3","","CNSHA","N"
"","21611","3600","26","15","82","40","","GP","D","1","","CNSHA","N"
"","21611","3600","26","08","84","40","","GP","D","3","","CNSHA","N"
"","21611","2200","27","01","02","20","","GP","D","1","","CNWUH","N"
"","21611","2200","27","01","04","20","","GP","D","1","","CNSHA","N"
"","21611","2200","27","01","06","20","","GP","D","1","","CNSHA","N"
"","21611","2200","27","03","02","20","","GP","D","1","","CNWUH","N"
"","21611","2200","27","03","04","20","","GP","D","1","","CNSHA","N"
"","21611","2200","27","03","06","20","","GP","D","1","","CNSHA","N"
