"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","24602","3800","70","02","14","40","","GP","L","1","","ILASH","N"
"","24602","4000","70","04","14","40","","GP","L","1","","ILASH","N"
"","24602","4000","70","06","14","40","","GP","L","1","","ILASH","N"
"","24602","3800","70","08","14","40","","GP","L","1","","ILASH","N"
"","24599","3600","58","05","92","40","","RF","L","1","","FRFOS","N"
"","24602","4000","70","01","82","40","","GP","L","1","","ILASH","N"
"","24602","3800","70","02","82","40","","GP","L","1","","ILASH","N"
"","24602","3800","70","04","82","40","","GP","L","1","","ILASH","N"
"","24602","3600","70","03","84","40","","GP","L","1","","ILASH","N"
"","24602","3800","70","01","84","40","","GP","L","1","","ILASH","N"
"","24602","3800","70","03","90","40","","GP","L","1","","ILASH","N"
"","24602","3800","70","02","84","40","","GP","L","1","","ILASH","N"
"","24602","4000","70","04","84","40","","GP","L","1","","ILASH","N"
"","24602","3600","70","03","86","40","","GP","L","1","","ILASH","N"
"","24602","3600","70","01","86","40","","GP","L","1","","ILASH","N"
"","24602","3600","70","02","86","40","","GP","L","1","","ILASH","N"
"","24602","4000","70","04","86","40","","GP","L","1","","ILASH","N"
"","24602","3800","70","01","90","40","","GP","L","1","","ILASH","N"
"","24602","4000","70","03","88","40","","GP","L","1","","ILASH","N"
"","24602","4000","70","01","88","40","","GP","L","1","","ILASH","N"
"","24602","3600","70","02","88","40","","GP","L","1","","ILASH","N"
"","24602","4000","70","04","88","40","","GP","L","1","","ILASH","N"
"","24602","3600","70","02","90","40","","GP","L","1","","ILASH","N"
"","24602","3600","70","04","90","40","","GP","L","1","","ILASH","N"
"","24602","3990","70","01","92","40","","GP","L","1","","ILASH","N"
"","24590","3800","22","10","12","40","","GP","L","1","","ITGOA","N"
"","24590","3600","22","10","14","40","","GP","L","1","","ITGOA","N"
"","24590","3600","22","10","16","40","","GP","L","1","","ITGOA","N"
"","24590","3600","22","10","18","40","","GP","L","1","","ITGOA","N"
"","24590","3600","22","12","18","40","","GP","L","1","","ITGOA","N"
"","24590","3600","22","12","82","40","","GP","L","1","","ITGOA","N"
"","24590","3600","22","14","82","40","","GP","L","1","","ITGOA","N"
"","24590","3600","22","12","84","40","","GP","L","1","","ITGOA","N"
"","24590","4000","22","14","84","40","","GP","L","1","","ITGOA","N"
"","24590","3600","22","12","86","40","","GP","L","1","","ITGOA","N"
"","24590","3800","22","14","86","40","","GP","L","1","","ITGOA","N"
"","24590","3800","22","14","88","40","","GP","L","1","","ITGOA","N"
