"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","27209","2200","13","05","02","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","05","04","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","05","06","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","05","08","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","05","10","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","05","12","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","05","14","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","06","02","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","06","04","20","","GP","D","1","","CNSHA","N"
"","27209","2200","13","06","06","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","00","02","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","01","02","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","01","04","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","01","06","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","01","08","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","01","10","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","01","12","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","02","02","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","02","04","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","02","06","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","02","08","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","02","10","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","02","12","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","03","06","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","03","08","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","03","10","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","03","12","20","","GP","D","1","","CNLYG","N"
"","27207","2200","07","04","06","20","","GP","D","1","","CNLYG","N"
"","27207","2200","07","04","08","20","","GP","D","1","","CNLYG","N"
"","27207","2200","07","04","10","20","","GP","D","1","","CNLYG","N"
"","27207","2200","07","04","12","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","05","10","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","05","12","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","06","10","20","","GP","D","1","","CNLYG","N"
"","27207","2200","07","06","12","20","","GP","D","1","","CNLYG","N"
"","27207","2200","07","07","14","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","07","16","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","08","14","20","","GP","D","1","","CNSHA","N"
"","27207","2200","07","08","16","20","","GP","D","1","","CNSHA","N"
"","27214","2200","35","05","12","20","","GP","D","1","","CNZJG","N"
"","27214","2200","35","05","14","20","","GP","D","1","","CNZJG","N"
"","27214","2200","35","05","82","20","","GP","D","1","","CNSHA","N"
"","27214","2200","35","06","02","20","","GP","D","1","","CNSHA","N"
"","27214","2200","35","06","04","20","","GP","D","1","","CNSHA","N"
"","27214","2200","35","06","06","20","","GP","D","1","","CNSHA","N"
