"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","28834","2200","37","04","94","20","","GP","D","1","","USOAK","N"
"","28834","2200","37","02","94","20","","GP","D","1","","USOAK","N"
"","28834","2200","37","01","94","20","","GP","D","1","","USOAK","N"
"","28834","2200","37","03","94","20","","GP","D","1","","USOAK","N"
"","28829","3600","18","04","84","40","","GP","D","1","","CNSHA","N"
"","28829","2200","19","01","08","20","","GP","D","1","","CNWUH","N"
"","28829","2200","17","01","12","20","","GP","D","1","","CNSHA","N"
"","28829","2200","17","00","10","20","","GP","D","3","","CNSHA","N"
"","28829","2200","17","00","12","20","","GP","D","1","","CNSHA","N"
"","28829","2200","19","00","06","20","","GP","D","1","","CNWUH","N"
"","28829","2200","17","00","02","20","","GP","D","1","","CNSHA","N"
"","28829","2200","19","01","02","20","","GP","D","1","","CNWUH","N"
"","28829","2200","19","01","04","20","","GP","D","1","","CNWUH","N"
"","28829","2200","17","00","08","20","","GP","D","1","","CNWUH","N"
"","28829","2200","19","01","10","20","","GP","D","3","","CNWUH","N"
"","28829","2200","17","01","06","20","","GP","D","1","","CNWUH","N"
"","28829","2200","17","00","04","20","","GP","D","1","","CNWUH","N"
"","28827","2200","11","02","02","20","","GP","D","1","","CNSHA","N"
"","28827","2200","09","00","04","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","04","06","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","04","08","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","04","10","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","04","12","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","00","14","20","","GP","D","3","","CNSHA","N"
"","28827","2200","11","04","02","20","","GP","D","1","","CNSHA","N"
"","28827","2200","11","02","04","20","","GP","D","3","","CNSHA","N"
"","28827","2200","11","01","06","20","","GP","D","3","","CNSHA","N"
"","28827","2200","11","01","08","20","","GP","D","3","","CNSHA","N"
"","28827","2200","11","01","10","20","","GP","D","3","","CNSHA","N"
"","28827","2200","11","03","12","20","","GP","D","1","","CNSHA","N"
"","28827","2200","09","02","14","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","03","82","20","","GP","D","3","","CNSHA","N"
"","28827","2200","11","01","02","20","","GP","D","3","","CNHPU","N"
"","28827","2200","11","03","04","20","","GP","D","1","","CNSHA","N"
"","28827","2200","09","00","06","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","00","08","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","00","10","20","","GP","D","3","","CNSHA","N"
"","28827","2200","09","00","12","20","","GP","D","3","","CNSHA","N"
"","28827","2200","11","03","14","20","","GP","D","1","","CNSHA","N"
"","28829","2200","19","01","06","20","","GP","D","1","","CNWUH","N"
"","28829","2200","19","01","12","20","","GP","D","1","","CNSHA","N"
"","28829","2200","19","00","10","20","","GP","D","3","","CNSHA","N"
"","28829","2200","19","00","12","20","","GP","D","1","","CNSHA","N"
"","28829","2200","17","01","02","20","","GP","D","1","","CNSHA","N"
"","28829","2200","19","00","02","20","","GP","D","1","","CNSHA","N"
