"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","17254","3600","06","02","84","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","02","86","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","04","12","40","","GP","D","1","","CNCGU","N"
"","17254","3600","06","04","14","40","","GP","D","1","","CNCGU","N"
"","17254","3600","06","04","16","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","04","82","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","04","84","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","04","86","40","","GP","D","1","","CNSHA","N"
"","17255","2200","09","05","82","20","","GP","D","1","","CNSHA","N"
"","17254","3600","06","06","14","40","","GP","D","1","","CNCGU","N"
"","17254","3600","06","06","16","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","06","82","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","06","84","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","06","86","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","08","82","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","08","84","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","08","86","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","10","82","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","10","84","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","10","86","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","12","82","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","12","84","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","12","86","40","","GP","D","1","","CNSHA","N"
"","17254","2200","05","06","12","20","","GP","D","1","","CNSHA","N"
"","17254","2200","05","08","16","20","","GP","D","1","","CNSHA","N"
"","17254","2200","07","06","12","20","","GP","D","1","","CNSHA","N"
"","17254","2200","07","08","14","20","","GP","D","1","","CNSHA","N"
"","17254","2200","07","08","16","20","","GP","D","1","","CNSHA","N"
"","17254","3600","06","02","12","40","","GP","D","1","","CNCGU","N"
"","17254","3600","06","02","14","40","","GP","D","1","","CNCGU","N"
"","17254","3600","06","02","16","40","","GP","D","1","","CNSHA","N"
"","17254","3600","06","02","82","40","","GP","D","1","","CNSHA","N"
"","17255","2200","09","07","82","20","","GP","D","1","","CNSHA","N"
"","17255","2200","11","07","82","20","","GP","D","1","","CNSHA","N"
"","17258","3600","22","05","02","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","05","04","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","05","06","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","05","08","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","05","10","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","05","12","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","05","14","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","05","16","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","06","02","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","06","04","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","06","06","40","","GP","D","1","","CNCGU","N"
"","17258","3600","22","06","08","40","","GP","D","1","","CNCGU","N"
