"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","20028","2200","13","09","10","20","","GP","D","1","","CNHPU","N"
"","20028","2200","13","07","82","20","","GP","D","1","","NGAPP","N"
"","20028","2200","13","07","84","20","","GP","D","1","","NGAPP","N"
"","20028","2200","13","08","04","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","08","06","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","08","08","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","08","10","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","08","12","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","08","14","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","08","16","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","08","82","20","","GP","D","1","","NGAPP","N"
"","20028","2200","13","08","84","20","","GP","D","1","","NGAPP","N"
"","20028","2200","13","09","08","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","09","12","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","09","14","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","09","16","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","09","82","20","","GP","D","1","","NGAPP","N"
"","20028","2200","13","09","84","20","","GP","D","1","","NGAPP","N"
"","20028","2200","13","10","08","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","10","10","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","10","12","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","10","14","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","10","16","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","10","82","20","","GP","D","1","","NGAPP","N"
"","20028","2200","13","10","84","20","","GP","D","1","","NGAPP","N"
"","20028","2200","13","11","12","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","11","14","20","","GP","D","1","","CNSHA","N"
"","20028","2200","13","11","16","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","05","02","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","05","04","20","","GP","D","1","","CNHPU","N"
"","20031","2200","25","09","10","20","","GP","D","1","","CNSHA","N"
"","20031","2200","25","11","04","20","","GP","D","1","","CNSHA","N"
"","20031","2200","25","11","06","20","","GP","D","1","","CNSHA","N"
"","20031","2200","25","11","08","20","","GP","D","1","","CNSHA","N"
"","20031","2200","25","11","10","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","05","06","20","","GP","D","1","","CNSHA","N"
"","20031","2200","25","11","12","20","","GP","D","1","","CNSHA","N"
"","20031","2200","25","12","04","20","","GP","D","1","","CNSHA","N"
"","20031","2200","25","12","06","20","","GP","D","1","","CNZJG","N"
"","20031","2200","27","05","08","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","06","02","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","06","04","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","06","06","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","06","08","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","06","10","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","07","02","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","08","02","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","08","04","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","08","06","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","08","08","20","","GP","D","1","","CNHPU","N"
"","20031","2200","27","08","10","20","","GP","D","1","","CNSHA","N"
"","20031","2200","27","09","02","20","","GP","D","1","","CNSHA","N"
