"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","27930","2200","23","03","02","20","","GP","L","2","","NGTIN","N"
"","27930","2200","21","03","02","20","","GP","L","2","","NGTIN","N"
"","27934","2200","39","01","06","20","","GP","L","2","","NGONN","N"
"","27934","2000","37","01","06","20","","GP","L","2","","NGONN","N"
"","27934","2200","39","00","08","20","","GP","L","2","","NGONN","N"
"","27934","2200","37","00","08","20","","GP","L","2","","NGONN","N"
"","27934","2000","39","01","08","20","","GP","L","2","","NGONN","N"
"","27934","2200","37","01","08","20","","GP","L","2","","NGONN","N"
"","27934","2200","39","00","10","20","","GP","L","2","","NGONN","N"
"","27934","2200","37","00","10","20","","GP","L","2","","NGONN","N"
"","27934","2200","39","01","10","20","","GP","L","2","","NGONN","N"
"","27934","2200","37","01","10","20","","GP","L","2","","NGONN","N"
"","27926","2200","07","02","10","20","","GP","L","2","","NGAPP","N"
"","27926","2200","05","02","10","20","","GP","L","2","","NGAPP","N"
"","27926","2200","07","00","10","20","","GP","L","2","","NGAPP","N"
"","27926","2200","05","00","10","20","","GP","L","2","","NGAPP","N"
"","27926","2200","07","01","10","20","","GP","L","2","","NGAPP","N"
"","27926","2200","05","01","10","20","","GP","L","2","","NGAPP","N"
"","27934","2200","39","04","02","20","","GP","L","2","","NGONN","N"
"","27934","2200","37","04","02","20","","GP","L","2","","NGONN","N"
"","27934","2000","39","02","02","20","","GP","L","2","","NGONN","N"
"","27934","2200","37","02","02","20","","GP","L","2","","NGONN","N"
"","27934","2000","39","04","04","20","","GP","L","2","","NGONN","N"
"","27934","2000","37","04","04","20","","GP","L","2","","NGONN","N"
"","27934","2000","39","02","04","20","","GP","L","2","","NGONN","N"
"","27934","2000","37","02","04","20","","GP","L","2","","NGONN","N"
"","27934","2000","39","04","06","20","","GP","L","2","","NGONN","N"
"","27934","2000","37","04","06","20","","GP","L","2","","NGONN","N"
"","27934","2200","39","02","06","20","","GP","L","2","","NGONN","N"
"","27934","2000","37","02","06","20","","GP","L","2","","NGONN","N"
"","27934","2200","39","04","08","20","","GP","L","2","","NGONN","N"
"","27934","2200","37","04","08","20","","GP","L","2","","NGONN","N"
"","27934","2200","39","02","08","20","","GP","L","2","","NGONN","N"
"","27934","2200","37","02","08","20","","GP","L","2","","NGONN","N"
"","27934","2000","39","04","10","20","","GP","L","2","","NGONN","N"
