"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","45568","3600","14","01","12","40","","GP","D","1","","CNTAO","N"
"","45568","3600","14","01","82","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","01","84","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","01","86","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","01","88","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","03","82","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","03","84","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","05","82","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","05","84","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","07","82","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","07","84","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","09","82","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","09","84","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","11","82","40","","GP","D","1","","USBOS","N"
"","45568","3600","14","11","84","40","","GP","D","1","","USBOS","N"
"","45573","3600","34","02","02","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","04","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","06","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","08","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","10","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","12","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","82","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","84","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","86","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","02","88","40","","GP","D","1","","USBOS","N"
"","45573","3600","34","00","04","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","00","06","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","00","08","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","00","10","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","00","12","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","00","82","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","00","84","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","00","86","40","","GP","D","1","","CNTCN","N"
"","45573","4200","34","00","88","45","","GP","D","1","","CNSHA","N"
"","45573","3600","34","01","04","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","01","06","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","01","08","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","01","10","40","","GP","D","1","","CNWUH","N"
"","45573","3600","34","01","12","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","01","14","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","01","82","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","01","84","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","01","86","40","","GP","D","1","","CNTCN","N"
"","45573","4200","34","01","88","45","","GP","D","1","","CNSHA","N"
"","45573","3600","34","03","02","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","03","04","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","03","06","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","03","08","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","03","12","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","03","82","40","","RF","D","1","","JPUKB","N"
"","45573","3600","34","03","84","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","03","86","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","03","88","40","","GP","D","1","","USBOS","N"
"","45573","3600","34","05","02","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","05","04","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","05","06","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","05","08","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","05","10","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","05","12","40","","GP","D","1","","CNCGU","N"
"","45573","3600","34","05","82","40","","RF","D","1","","JPTYO","N"
"","45573","3600","34","05","84","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","05","86","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","05","88","40","","GP","D","1","","USBOS","N"
"","45573","3600","34","07","02","40","","GP","D","1","","CNXMN","N"
"","45573","3600","34","07","04","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","07","06","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","07","08","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","07","10","40","","GP","D","1","","CNCKG","N"
"","45573","3600","34","07","12","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","07","82","40","","RF","D","1","","JPTYO","N"
"","45573","3600","34","07","84","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","07","86","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","07","88","40","","GP","D","1","","USBOS","N"
"","45573","3600","34","09","04","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","09","06","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","09","08","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","09","10","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","09","12","40","","GP","D","1","","CNTCN","N"
"","45573","3600","34","09","82","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","09","84","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","09","86","40","","GP","D","1","","CNSHA","N"
"","45573","3600","34","09","88","40","","GP","D","1","","USBOS","N"
"","45573","3600","34","11","82","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","11","84","40","","GP","D","1","","CNTAO","N"
"","45573","3600","34","11","86","40","","GP","D","1","","CNSHA","N"
"","45573","2200","35","00","02","20","","GP","D","1","","TWKEL","N"
"","45573","2200","35","01","02","20","","GP","D","1","","CNSHA","N"
"","45565","3600","02","02","84","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","02","86","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","00","14","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","00","82","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","00","84","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","00","86","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","01","14","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","01","82","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","01","84","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","01","86","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","03","14","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","03","82","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","03","84","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","03","86","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","05","82","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","05","84","40","","GP","D","1","","USBOS","N"
"","45565","3600","02","05","86","40","","GP","D","1","","USBOS","N"
"","45565","2200","03","08","82","20","","GP","D","1","","USBOS","N"
"","45566","3600","06","09","86","40","","GP","D","1","","CNHZH","N"
"","45566","3600","06","11","82","40","","GP","D","1","","CNCKG","N"
"","45566","3600","06","11","84","40","","GP","D","1","","CNCKG","N"
"","45573","3600","34","03","10","40","","GP","D","1","","CNSHA","N"
"","45576","3600","46","12","82","40","","GP","D","1","","CNSHA","N"
"","45576","3600","46","12","84","40","","GP","D","1","","CNSHA","N"
"","45576","3600","46","10","06","40","","GP","D","1","","CNSHA","N"
"","45576","3600","46","10","08","40","","GP","D","1","","CNCGU","N"
"","45576","3600","46","10","10","40","","GP","D","1","","CNSHA","N"
"","45576","3600","46","10","12","40","","GP","D","1","","CNCGU","N"
"","45576","3600","46","08","04","40","","GP","D","1","","CNTCN","N"
"","45576","3600","46","08","06","40","","GP","D","1","","CNSHA","N"
"","45576","3600","46","08","08","40","","GP","D","1","","CNTCN","N"
"","45576","3600","46","08","10","40","","GP","D","1","","CNXMN","N"
"","45576","3600","46","08","12","40","","GP","D","1","","CNSHA","N"
"","45576","3600","46","06","02","40","","GP","D","1","","CNCGU","N"
"","45576","3600","46","06","04","40","","GP","D","1","","CNSHA","N"
"","45565","2200","03","08","84","20","","GP","D","1","","USBOS","N"
"","45565","2200","03","02","12","20","","GP","D","1","","USBOS","N"
"","45565","2200","03","00","08","20","","GP","D","1","","USBOS","N"
"","45565","2200","03","00","10","20","","GP","D","1","","USBOS","N"
"","45565","2200","03","00","12","20","","GP","D","1","","USBOS","N"
"","45565","2200","03","01","12","20","","GP","D","1","","USBOS","N"
