"VHTID","LENGTH","VHTPOSITION","VBYBAYID","VTRTIERNO","VTRTIERSEQ","VRWROWNO","VRWROWSEQ","VLCVWCID","CABPOSITION"
"45565","46","735","01","02","1","04","5","25","46"
"45565","46","735","01","02","1","02","6","25","46"
"45565","46","735","01","02","1","00","7","25","46"
"45565","46","735","01","02","1","01","8","25","46"
"45565","46","735","01","02","1","03","9","25","46"
"45565","46","735","01","04","2","04","5","25","46"
"45565","46","735","01","04","2","02","6","25","46"
"45565","46","735","01","04","2","00","7","25","46"
"45565","46","735","01","04","2","01","8","25","46"
"45565","46","735","01","04","2","03","9","25","46"
"45565","46","735","01","06","3","04","5","25","46"
"45565","46","735","01","06","3","02","6","25","46"
"45565","46","735","01","06","3","00","7","25","46"
"45565","46","735","01","06","3","01","8","25","46"
"45565","46","735","01","06","3","03","9","25","46"
"45565","46","735","01","08","4","04","5","25","46"
"45565","46","735","01","08","4","02","6","25","46"
"45565","46","735","01","08","4","00","7","25","46"
"45565","46","735","01","08","4","01","8","25","46"
"45565","46","735","01","08","4","03","9","25","46"
"45565","46","735","01","10","5","04","5","25","46"
"45565","46","735","01","10","5","02","6","25","46"
"45565","46","735","01","10","5","00","7","25","46"
"45565","46","735","01","10","5","01","8","25","46"
"45565","46","735","01","10","5","03","9","25","46"
"45565","46","735","01","12","6","04","5","25","46"
"45565","46","735","01","12","6","02","6","25","46"
"45565","46","735","01","12","6","00","7","25","46"
"45565","46","735","01","12","6","01","8","25","46"
"45565","46","735","01","12","6","03","9","25","46"
"45565","46","735","01","14","7","04","5","25","46"
"45565","46","735","01","14","7","02","6","25","46"
"45565","46","735","01","14","7","00","7","25","46"
"45565","46","735","01","14","7","01","8","25","46"
"45565","46","735","01","14","7","03","9","25","46"
"45565","46","735","01","82","1","08","3","25","46"
"45565","46","735","01","82","1","06","4","25","46"
"45565","46","735","01","82","1","04","5","25","46"
"45565","46","735","01","82","1","02","6","25","46"
"45565","46","735","01","82","1","00","7","25","46"
"45565","46","735","01","82","1","01","8","25","46"
"45565","46","735","01","82","1","03","9","25","46"
"45565","46","735","01","82","1","05","10","25","46"
"45565","46","735","01","82","1","07","11","25","46"
"45565","46","735","01","84","2","08","3","25","46"
"45565","46","735","01","84","2","06","4","25","46"
"45565","46","735","01","84","2","04","5","25","46"
"45565","46","735","01","84","2","02","6","25","46"
"45565","46","735","01","84","2","00","7","25","46"
"45565","46","735","01","84","2","01","8","25","46"
"45565","46","735","01","84","2","03","9","25","46"
"45565","46","735","01","84","2","05","10","25","46"
"45565","46","735","01","84","2","07","11","25","46"
"45565","46","735","01","86","3","08","3","25","46"
"45565","46","735","01","86","3","06","4","25","46"
"45565","46","735","01","86","3","04","5","25","46"
"45565","46","735","01","86","3","02","6","25","46"
"45565","46","735","01","86","3","00","7","25","46"
"45565","46","735","01","86","3","01","8","25","46"
"45565","46","735","01","86","3","03","9","25","46"
"45565","46","735","01","86","3","05","10","25","46"
"45565","46","735","01","86","3","07","11","25","46"
"45565","46","735","01","88","4","08","3","25","46"
"45565","46","735","01","88","4","06","4","25","46"
"45565","46","735","01","88","4","04","5","25","46"
"45565","46","735","01","88","4","02","6","25","46"
"45565","46","735","01","88","4","00","7","25","46"
"45565","46","735","01","88","4","01","8","25","46"
"45565","46","735","01","88","4","03","9","25","46"
"45565","46","735","01","88","4","05","10","25","46"
"45565","46","735","01","88","4","07","11","25","46"
"45565","46","735","01","90","5","08","3","25","46"
