"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","41618","3600","52","01","04","40","","GP","D","1","","CNSHA","N"
"","41618","3600","52","00","06","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","02","02","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","01","06","40","","GP","D","1","","CNSHA","N"
"","41618","3600","52","00","04","40","","GP","D","3","","CNCSX","N"
"","41618","3600","52","02","04","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","02","14","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","00","84","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","01","84","40","","GP","D","1","","CNSHA","N"
"","41618","3600","52","02","86","40","","GP","D","3","","CNTAO","N"
"","41618","3600","52","00","12","40","","GP","D","3","","THLCH","N"
"","41618","3600","52","01","12","40","","GP","D","1","","CNSHA","N"
"","41618","3600","52","00","02","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","02","06","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","00","08","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","01","10","40","","GP","D","1","","CNSHA","N"
"","41618","3600","52","02","10","40","","GP","D","3","","CNCKG","N"
"","41618","3600","52","00","82","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","00","86","40","","GP","D","3","","CNTAO","N"
"","41618","3600","52","01","86","40","","GP","D","1","","CNTAO","N"
"","41618","3600","52","01","02","40","","GP","D","1","","CNSHA","N"
"","41618","3600","52","02","08","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","00","10","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","01","08","40","","GP","D","1","","CNSHA","N"
"","41618","3600","52","02","12","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","00","14","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","01","14","40","","GP","D","1","","CNSHA","N"
"","41618","3600","52","02","82","40","","GP","D","3","","CNSHA","N"
"","41618","3600","52","01","82","40","","GP","D","1","","CNTAO","N"
"","41618","3600","52","02","84","40","","GP","D","3","","CNTAO","N"
"","41605","2200","01","07","82","20","","GP","D","1","","CNSHA","N"
"","41605","2200","01","07","84","20","","GP","D","1","","CNWUH","N"
"","41606","2200","05","10","82","20","","TK","D","1","","CNNKG","N"
"","41606","2200","05","10","84","20","","TK","D","1","","CNNKG","N"
"","41607","3600","08","07","86","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","09","86","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","08","86","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","05","86","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","08","84","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","04","84","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","11","84","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","03","12","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","04","16","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","03","16","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","05","84","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","09","84","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","06","86","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","04","12","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","04","14","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","06","14","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","03","14","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","10","82","40","","GP","D","3","","CNCGU","N"
"","41607","3600","08","03","84","40","","GP","D","3","","CNCGU","N"
"","41607","3600","08","07","84","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","03","08","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","03","10","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","06","12","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","05","12","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","05","14","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","03","82","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","07","82","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","04","10","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","04","08","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","07","16","40","","OT","D","1","","CNSHA","N"
"","41607","3600","08","09","82","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","11","82","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","10","84","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","05","16","40","","OT","D","3","","CNSHA","N"
"","41607","3600","08","12","82","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","06","16","40","","GP","D","3","","CNSHA","N"
"","41607","4200","08","12","84","45","","GP","D","3","","CNSHA","N"
"","41607","3600","08","08","82","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","04","82","40","","GP","D","1","","CNSHA","N"
"","41607","3600","08","06","84","40","","GP","D","3","","CNSHA","N"
"","41607","3600","08","06","82","40","","GP","D","3","","CNCGU","N"
"","41607","3600","08","05","82","40","","GP","D","3","","CNSHA","N"
"","41607","2200","09","08","12","20","","GP","D","1","","CNSHA","N"
"","41607","2200","09","06","10","20","","GP","D","1","","CNSHA","N"
"","41607","2200","09","04","06","20","","GP","D","1","","CNSHA","N"
"","41607","2200","09","03","06","20","","GP","D","1","","CNSHA","N"
"","41607","2200","09","05","10","20","","GP","D","1","","CNSHA","N"
"","41607","2200","09","07","12","20","","OT","D","1","","CNSHA","N"
"","41607","2200","09","07","14","20","","OT","D","1","","CNSHA","N"
"","41610","3600","20","00","02","40","","GP","D","3","","CNWUH","N"
"","41610","3600","20","02","02","40","","GP","D","3","","CNWUH","N"
"","41610","3600","20","01","02","40","","GP","D","1","","CNWUH","N"
"","41610","3600","20","00","04","40","","GP","D","3","","CNWUH","N"
"","41610","3600","20","02","04","40","","GP","D","3","","CNSHA","N"
"","41610","3600","20","01","04","40","","GP","D","1","","CNWUH","N"
"","41610","3600","20","00","14","40","","OT","D","3","","CNSHA","N"
"","41610","3600","20","00","12","40","","OT","D","3","","CNSHA","N"
"","41610","3600","20","00","84","40","","GP","D","3","","CNSHA","N"
"","41610","3600","20","02","84","40","","GP","D","3","","CNSHA","N"
"","41610","3600","20","00","06","40","","GP","D","3","","CNWUH","N"
"","41610","3600","20","01","06","40","","GP","D","1","","CNSHA","N"
"","41610","3600","20","01","12","40","","GP","D","1","","CNWUH","N"
"","41610","3600","20","02","10","40","","GP","D","3","","CNSHA","N"
"","41610","3600","20","02","12","40","","GP","D","3","","CNWUH","N"
"","41610","3600","20","02","14","40","","OT","D","3","","CNSHA","N"
"","41610","3600","20","01","14","40","","OT","D","1","","CNSHA","N"
"","41610","3600","20","00","16","40","","OT","D","3","","CNSHA","N"
"","41610","3600","20","02","08","40","","GP","D","3","","CNSHA","N"
"","41610","3600","20","01","84","40","","GP","D","1","","CNSHA","N"
"","41610","3600","20","02","06","40","","GP","D","3","","CNSHA","N"
"","41610","3600","20","00","08","40","","GP","D","3","","CNSHA","N"
"","41610","3600","20","00","10","40","","GP","D","3","","CNSHA","N"
"","41610","3600","20","01","08","40","","GP","D","1","","CNWUH","N"
"","41610","3600","20","01","10","40","","GP","D","1","","CNSHA","N"
"","41610","3600","20","00","82","40","","GP","D","3","","CNSHA","N"
