"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","41630","4000","28","09","04","40","","GP","L","1","","USCHS","N"
"","41630","3800","28","07","04","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","07","06","40","","GP","L","1","","USCHS","N"
"","41630","3800","28","05","06","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","09","08","40","","GP","L","1","","USCHS","N"
"","41630","3800","28","07","08","40","","GP","L","1","","USCHS","N"
"","41630","3800","28","05","08","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","09","10","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","07","10","40","","GP","L","1","","USCHS","N"
"","41630","3800","28","05","10","40","","GP","L","1","","USCHS","N"
"","41630","3800","28","09","12","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","07","12","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","05","12","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","09","14","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","07","14","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","05","14","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","05","04","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","09","06","40","","GP","L","1","","USCHS","N"
"","41630","3800","28","10","04","40","","GP","L","1","","USCHS","N"
"","41630","3600","28","10","06","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","10","08","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","07","02","40","","GP","L","1","","USCHS","N"
"","41630","4000","28","05","02","40","","GP","L","1","","USCHS","N"
"","41633","3600","40","08","10","40","","GP","L","1","","USILM","N"
"","41639","3600","64","01","16","40","","HC","L","1","","USILM","N"
"","41633","3600","40","12","86","40","","HC","L","1","","USILM","N"
"","41639","3600","64","02","82","40","","HC","L","1","","USILM","N"
"","41639","3600","64","01","84","40","","GP","L","1","","USILM","N"
"","41633","3800","40","07","84","40","","GP","L","1","","USILM","N"
"","41633","3600","40","05","84","40","","HC","L","1","","USILM","N"
"","41633","3800","40","08","14","40","","GP","L","1","","USILM","N"
"","41633","3600","40","10","14","40","","GP","L","1","","USILM","N"
"","41633","3800","40","05","04","40","","GP","L","1","","USILM","N"
"","41633","3800","40","05","06","40","","GP","L","1","","USILM","N"
"","41633","3600","40","05","08","40","","GP","L","1","","USILM","N"
"","41633","3600","40","05","10","40","","GP","L","1","","USILM","N"
"","41633","3600","40","09","12","40","","GP","L","1","","USILM","N"
"","41633","3600","40","05","14","40","","GP","L","1","","USILM","N"
"","41639","4000","64","01","10","40","","GP","L","1","","USILM","N"
"","41639","4000","64","00","10","40","","GP","L","1","","USILM","N"
"","41639","3600","64","02","10","40","","GP","L","1","","USILM","N"
"","41639","3800","64","01","12","40","","GP","L","1","","USILM","N"
"","41639","3800","64","00","12","40","","GP","L","1","","USILM","N"
"","41639","3600","64","02","12","40","","GP","L","1","","USILM","N"
"","41633","4000","40","05","12","40","","GP","L","1","","USILM","N"
"","41639","3600","64","00","84","40","","GP","L","1","","USILM","N"
"","41633","4000","40","07","12","40","","GP","L","1","","USILM","N"
"","41633","3800","40","08","12","40","","GP","L","1","","USILM","N"
"","41639","3800","64","00","14","40","","GP","L","1","","USILM","N"
"","41639","3800","64","02","14","40","","GP","L","1","","USILM","N"
"","41639","3800","64","00","86","40","","GP","L","1","","USILM","N"
"","41639","3800","64","00","88","40","","GP","L","1","","USILM","N"
"","41639","3800","64","02","86","40","","GP","L","1","","USILM","N"
"","41639","3800","64","01","14","40","","GP","L","1","","USILM","N"
"","41633","4000","40","09","14","40","","GP","L","1","","USILM","N"
"","41633","3600","40","10","12","40","","GP","L","1","","USILM","N"
"","41633","4000","40","07","14","40","","GP","L","1","","USILM","N"
"","41635","3600","48","07","82","40","","GP","L","1","","USCHS","N"
"","41635","3600","48","05","82","40","","GP","L","1","","USCHS","N"
"","41635","3600","48","03","82","40","","GP","L","1","","USCHS","N"
"","41635","3600","48","01","82","40","","GP","L","1","","USCHS","N"
"","41635","3600","48","00","82","40","","GP","L","1","","USCHS","N"
"","41635","3600","48","02","82","40","","GP","L","1","","USCHS","N"
"","41633","3600","40","03","84","40","","HC","L","1","","USILM","N"
"","41633","4000","40","11","86","40","","GP","L","1","","USILM","N"
"","41633","3800","40","04","84","40","","GP","L","1","","USILM","N"
"","41633","3600","40","09","86","40","","GP","L","1","","USILM","N"
"","41633","3800","40","06","84","40","","GP","L","1","","USILM","N"
"","41633","3800","40","08","84","40","","GP","L","1","","USILM","N"
"","41633","4000","40","10","84","40","","GP","L","1","","USILM","N"
"","41633","4000","40","07","86","40","","GP","L","1","","USILM","N"
"","41633","4000","40","12","84","40","","GP","L","1","","USILM","N"
"","41633","4000","40","05","86","40","","GP","L","1","","USILM","N"
"","41633","3800","40","03","86","40","","GP","L","1","","USILM","N"
"","41633","3600","40","01","86","40","","GP","L","1","","USILM","N"
"","41639","3600","64","01","86","40","","HC","L","1","","USILM","N"
"","41639","3600","64","02","84","40","","GP","L","1","","USILM","N"
"","41633","3600","40","04","86","40","","GP","L","1","","USILM","N"
"","41633","3600","40","06","86","40","","GP","L","1","","USILM","N"
"","41633","3600","40","08","86","40","","GP","L","1","","USILM","N"
"","41637","3600","56","06","14","40","","GP","L","1","","USSAV","N"
"","41637","3600","56","08","14","40","","GP","L","1","","USSAV","N"
"","41639","3600","64","00","16","40","","HC","L","1","","USILM","N"
"","41635","4000","48","06","82","40","","GP","L","1","","USCHS","N"
