"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","27689","3600","16","01","10","40","","GP","D","1","","USBOS","N"
"","27689","3600","16","01","12","40","","GP","D","1","","USBOS","N"
"","27689","3600","16","01","14","40","","GP","D","1","","USBOS","N"
"","27697","3600","48","10","04","40","","GP","D","1","","CNCGU","N"
"","27697","3600","48","10","06","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","10","08","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","10","10","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","10","12","40","","GP","D","1","","CNMAA","N"
"","27697","3600","48","10","14","40","","GP","D","1","","CNMAA","N"
"","27697","3600","48","10","82","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","10","84","40","","GP","D","1","","CNSHA","N"
"","27697","4200","48","10","86","45","","GP","D","1","","CNSHA","N"
"","27697","3600","48","08","02","40","","GP","D","1","","CNMAA","N"
"","27697","3600","48","08","04","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","08","06","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","08","08","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","08","10","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","08","12","40","","GP","D","1","","CNCGU","N"
"","27689","2200","17","02","02","20","","GP","D","1","","USBOS","N"
"","27689","2200","17","02","04","20","","GP","D","1","","CNSHA","N"
"","27689","2200","17","02","06","20","","GP","D","1","","CNSHA","N"
"","27689","2200","17","02","08","20","","GP","D","1","","CNSHA","N"
"","27689","2200","17","00","02","20","","GP","D","1","","CNSHA","N"
"","27689","2200","17","00","04","20","","GP","D","1","","CNSHA","N"
"","27689","2200","17","00","06","20","","GP","D","1","","CNSHA","N"
"","27689","2200","17","00","08","20","","GP","D","1","","CNSHA","N"
"","27689","2200","17","00","10","20","","GP","D","1","","CNSHA","N"
"","27697","3600","48","08","14","40","","GP","D","1","","CNTCN","N"
"","27697","3600","48","08","82","40","","GP","D","1","","CNCGU","N"
"","27697","3600","48","08","84","40","","GP","D","1","","CNWUH","N"
"","27697","4200","48","08","86","45","","GP","D","1","","CNSHA","N"
"","27697","3600","48","06","02","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","06","04","40","","GP","D","1","","CNMAA","N"
"","27697","3600","48","06","06","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","06","08","40","","GP","D","1","","CNMAA","N"
"","27697","3600","48","06","10","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","06","12","40","","GP","D","1","","CNNKG","N"
"","27697","3600","48","06","14","40","","GP","D","1","","CNCGU","N"
"","27697","3600","48","06","82","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","06","84","40","","GP","D","1","","CNTCN","N"
"","27697","4200","48","06","86","45","","GP","D","1","","CNSHA","N"
"","27697","3600","48","04","02","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","04","04","40","","GP","D","1","","CNTCN","N"
"","27697","3600","48","04","06","40","","GP","D","1","","CNTCN","N"
"","27697","3600","48","04","08","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","04","10","40","","GP","D","1","","CNTCN","N"
"","27697","3600","48","04","12","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","04","14","40","","GP","D","1","","CNTCN","N"
"","27697","3600","48","04","82","40","","GP","D","1","","CNANJ","N"
"","27697","3600","48","04","84","40","","GP","D","1","","CNSHA","N"
"","27697","4200","48","04","86","45","","GP","D","1","","CNSHA","N"
"","27697","4200","48","04","88","45","","GP","D","1","","CNSHA","N"
"","27697","3600","48","02","02","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","02","04","40","","GP","D","1","","CNWUH","N"
"","27697","3600","48","02","06","40","","GP","D","1","","CNCGU","N"
"","27697","3600","48","02","08","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","02","10","40","","GP","D","1","","CNSHA","N"
"","27697","3600","48","02","12","40","","GP","D","1","","CNTCN","N"
"","27697","3600","48","02","14","40","","GP","D","1","","CNTCN","N"
"","27697","3600","48","02","82","40","","GP","D","1","","CNTCN","N"
"","27697","3600","48","02","84","40","","GP","D","1","","CNSHA","N"
"","27691","3600","24","08","04","40","","GP","D","1","","CNWUH","N"
"","27691","3600","24","08","06","40","","GP","D","1","","CNWUH","N"
"","27691","3600","24","08","08","40","","GP","D","1","","CNWUH","N"
"","27691","3600","24","08","10","40","","GP","D","1","","CNWUH","N"
"","27691","3600","24","06","02","40","","GP","D","1","","CNWUH","N"
"","27691","3600","24","06","04","40","","GP","D","1","","CNSHA","N"
