"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","27945","2200","01","07","84","20","","RF","D","1","","CNSHA","N"
"","27945","2200","01","09","84","20","","GP","D","1","","CNSHA","N"
"","27945","2200","01","09","86","20","","GP","D","1","","CNSHA","N"
"","27950","3600","20","03","84","40","","GP","D","1","","CNSHA","N"
"","27950","3600","20","09","82","40","","GP","D","1","","CNSHA","N"
"","27950","2200","21","10","06","20","","GP","D","1","","CNSHA","N"
"","27950","2200","21","06","02","20","","GP","D","1","","CNSHA","N"
"","27950","2200","21","05","02","20","","GP","D","1","","CNSHA","N"
"","27950","2200","21","09","06","20","","GP","D","1","","CNSHA","N"
"","27952","3600","28","00","84","40","","GP","D","1","","CNSHA","N"
"","27952","4200","28","00","86","45","","GP","D","1","","CNSHA","N"
"","27952","3600","28","01","82","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","02","06","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","02","04","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","01","08","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","01","10","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","01","12","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","01","14","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","00","02","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","00","04","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","00","06","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","00","08","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","00","82","40","","RF","D","1","","CNSHA","N"
"","27954","3600","36","02","82","40","","GP","D","1","","CNSHA","N"
"","27954","3600","36","00","82","40","","GP","D","1","","CNSHA","N"
"","27954","3600","36","00","84","40","","GP","D","1","","CNSHA","N"
"","27954","3600","36","01","82","40","","GP","D","1","","CNSHA","N"
"","27954","3600","36","01","84","40","","GP","D","1","","CNSHA","N"
"","27948","3600","12","00","10","40","","GP","D","1","","CNTCN","N"
"","27948","3600","12","00","12","40","","GP","D","1","","CNTCN","N"
"","27948","3600","12","00","14","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","10","82","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","10","84","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","08","14","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","08","82","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","06","04","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","06","08","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","06","10","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","04","02","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","04","04","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","04","08","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","04","10","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","04","82","40","","GP","D","1","","CNTCN","N"
"","27955","3600","40","09","08","40","","GP","D","1","","USBOS","N"
"","27958","3600","52","12","84","40","","GP","D","1","","CNNTG","N"
"","27958","3600","52","12","82","40","","GP","D","1","","CNNTG","N"
"","27955","3600","40","04","12","40","","GP","D","1","","CNTCN","N"
"","27955","3600","40","09","14","40","","GP","D","1","","USBOS","N"
"","27955","3600","40","09","16","40","","GP","D","1","","USBOS","N"
"","27955","3600","40","09","10","40","","GP","D","1","","USBOS","N"
"","27958","3600","52","04","82","40","","GP","D","1","","CNTCN","N"
"","27958","3600","52","03","82","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","09","08","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","03","12","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","03","02","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","03","04","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","03","06","40","","GP","D","1","","CNTCN","N"
"","27955","3600","40","03","04","40","","GP","D","1","","CNCKG","N"
"","27950","3600","20","12","82","40","","GP","D","1","","CNCKG","N"
"","27950","3600","20","08","10","40","","GP","D","1","","CNCKG","N"
"","27950","3600","20","08","12","40","","GP","D","1","","CNCKG","N"
"","27950","3600","20","04","14","40","","GP","D","1","","CNCKG","N"
"","27958","3600","52","09","10","40","","GP","D","1","","JPNGO","N"
"","27950","3600","20","05","04","40","","GP","D","1","","CNCKG","N"
"","27950","3600","20","07","04","40","","GP","D","1","","CNCKG","N"
"","27950","3600","20","07","14","40","","GP","D","1","","CNCKG","N"
"","27950","3600","20","05","06","40","","GP","D","1","","CNCKG","N"
"","27952","3600","28","02","86","40","","GP","D","1","","CNCKG","N"
"","27955","3600","40","03","12","40","","GP","D","1","","USBOS","N"
"","27955","2200","39","09","04","20","","GP","D","1","","USBOS","N"
"","27955","2200","39","09","06","20","","GP","D","1","","USBOS","N"
"","27955","3600","40","10","04","40","","GP","D","1","","USBOS","N"
"","27950","3600","20","07","10","40","","GP","D","1","","CNTCN","N"
"","27950","3600","20","07","12","40","","GP","D","1","","CNTCN","N"
