"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","8011","4200","42","01","90","45","","GP","D","1","","CNSHA","N"
"","8011","3600","42","04","76","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","04","78","40","","GP","D","1","","CNSHA","N"
"","8011","4200","42","04","80","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","04","82","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","04","84","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","04","86","45","","GP","D","1","","CNSHA","N"
"","8011","3600","42","05","10","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","05","16","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","05","74","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","05","78","40","","GP","D","1","","CNSHA","N"
"","8011","4200","42","05","80","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","05","82","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","05","84","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","05","86","45","","GP","D","1","","CNSHA","N"
"","8011","3600","42","06","10","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","06","12","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","04","74","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","06","16","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","12","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","14","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","16","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","72","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","74","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","76","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","78","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","80","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","82","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","02","84","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","02","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","04","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","06","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","08","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","10","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","12","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","14","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","16","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","72","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","74","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","76","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","78","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","80","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","03","82","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","04","02","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","04","04","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","04","06","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","04","08","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","04","10","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","04","12","40","","GP","D","1","","CNSHA","N"
"","8016","3600","62","04","14","40","","GP","D","1","","CNSHA","N"
"","8015","3600","58","08","86","40","","GP","D","1","","CNSHA","N"
"","8015","3600","58","09","86","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","03","72","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","03","74","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","03","76","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","03","78","40","","GP","D","1","","CNSHA","N"
"","8011","4200","42","03","80","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","03","82","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","03","84","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","07","82","45","","GP","D","1","","CNSHA","N"
"","8011","3600","42","14","74","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","14","76","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","14","78","40","","GP","D","1","","CNSHA","N"
"","8011","4200","42","14","80","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","14","82","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","14","84","45","","GP","D","1","","CNSHA","N"
"","8011","3600","42","15","72","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","15","74","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","15","76","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","15","78","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","14","72","40","","GP","D","1","","CNSHA","N"
"","8015","3600","58","14","86","40","","GP","D","1","","CNSHA","N"
"","8015","3600","58","15","84","40","","GP","D","1","","CNSHA","N"
"","8015","3600","58","16","84","40","","GP","D","1","","CNSHA","N"
"","8011","2200","41","08","72","20","","GP","D","1","","CNSHA","N"
"","8011","2200","41","09","72","20","","GP","D","1","","CNSHA","N"
"","8011","2200","41","10","72","20","","OT","D","1","","CNSHA","N"
"","8011","2200","41","11","72","20","","GP","D","1","","CNSHA","N"
"","8011","2200","41","12","72","20","","GP","D","1","","CNSHA","N"
"","8011","2200","41","13","74","20","","OT","D","1","","CNSHA","N"
"","8011","2200","41","13","76","20","","OT","D","1","","CNSHA","N"
"","8011","3600","42","00","72","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","00","74","40","","GP","D","1","","CNSHA","N"
"","8011","4200","42","07","84","45","","GP","D","1","","CNSHA","N"
"","8011","4200","42","07","86","45","","GP","D","1","","CNSHA","N"
"","8011","3600","42","08","10","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","08","12","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","08","14","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","08","16","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","08","78","40","","GP","D","1","","CNSHA","N"
"","8011","4200","42","08","80","45","","GP","D","1","","CNSHA","N"
"","8011","3600","42","12","78","40","","GP","D","1","","CNSHA","N"
"","8011","3600","42","12","74","40","","GP","D","1","","CNSHA","N"
"","8011","4200","42","12","80","45","","GP","D","1","","CNSHA","N"
