"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","8026","2200","13","11","80","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","12","76","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","12","78","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","12","80","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","13","76","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","14","74","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","14","82","20","","GP","D","1","","CNSHA","N"
"","8051","3600","34","03","04","40","","GP","D","1","","CNNKG","N"
"","8028","2200","21","08","78","20","","GP","D","1","","CNSHA","N"
"","8028","2200","21","10","74","20","","GP","D","1","","CNSHA","N"
"","8028","2200","21","10","76","20","","GP","D","1","","CNSHA","N"
"","8028","2200","21","12","78","20","","GP","D","1","","CNSHA","N"
"","8028","2200","21","14","74","20","","GP","D","1","","CNSHA","N"
"","8028","2200","23","10","76","20","","GP","D","1","","CNSHA","N"
"","8051","3600","34","04","02","40","","GP","D","1","","CNWUH","N"
"","8024","2200","07","00","10","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","00","12","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","00","14","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","00","18","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","01","12","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","01","14","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","02","10","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","02","12","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","02","14","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","04","14","20","","GP","D","1","","CNSHA","N"
"","8052","2200","37","01","72","20","","GP","D","1","","GHTEM","N"
"","8052","2200","37","03","72","20","","GP","D","1","","GHTEM","N"
"","8052","2200","37","04","76","20","","GP","D","1","","CIABJ","N"
"","8052","3600","38","00","78","40","","GP","D","1","","GHTEM","N"
"","8052","3600","38","00","80","40","","GP","D","1","","CIABJ","N"
"","8052","3600","38","00","82","40","","GP","D","1","","CIABJ","N"
"","8026","2200","13","05","16","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","05","80","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","05","82","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","06","74","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","06","76","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","07","76","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","07","82","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","08","78","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","08","80","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","08","82","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","09","74","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","10","74","20","","GP","D","1","","CNSHA","N"
"","8026","2200","13","10","76","20","","GP","D","1","","CNSHA","N"
"","8051","3600","34","00","04","40","","GP","D","1","","CNWUH","N"
"","8028","2200","23","08","74","20","","GP","D","1","","CNSHA","N"
"","8028","2200","23","08","78","20","","GP","D","1","","CNSHA","N"
"","8028","2200","23","10","74","20","","GP","D","1","","CNSHA","N"
"","8028","2200","23","12","78","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","00","02","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","00","16","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","00","72","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","00","74","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","01","08","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","01","10","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","01","16","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","01","74","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","02","08","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","02","16","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","02","72","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","02","74","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","03","12","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","03","72","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","04","16","20","","GP","D","1","","CNSHA","N"
"","8024","2200","07","04","74","20","","GP","D","1","","CNSHA","N"
"","8026","3600","14","00","06","40","","GP","D","1","","MYPKG","N"
"","8026","3600","14","02","14","40","","GP","D","1","","MYPKG","N"
"","8056","2200","55","01","72","20","","GP","D","1","","GHTEM","N"
"","8056","2200","55","01","74","20","","GP","D","1","","GHTEM","N"
"","8056","2200","55","02","72","20","","GP","D","1","","GHTEM","N"
"","8056","2200","55","02","74","20","","GP","D","1","","GHTEM","N"
"","8056","2200","55","03","72","20","","GP","D","1","","GHTEM","N"
"","8056","2200","55","03","74","20","","GP","D","1","","GHTEM","N"
"","8056","2200","55","04","72","20","","GP","D","1","","GHTEM","N"
"","8056","2200","55","04","74","20","","GP","D","1","","GHTEM","N"
"","8051","3600","34","03","02","40","","GP","D","1","","CNMAA","N"
"","8051","3600","34","03","76","40","","GP","D","1","","CNMAA","N"
"","8024","2200","05","00","04","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","06","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","08","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","10","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","12","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","14","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","18","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","02","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","16","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","72","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","00","74","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","01","08","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","01","10","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","01","16","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","01","74","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","02","08","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","02","16","20","","GP","D","1","","CNSHA","N"
"","8024","2200","05","02","72","20","","GP","D","1","","CNSHA","N"
