"VHTID","LENGTH","VHTPOSITION","VBYBAYID","VTRTIERNO","VTRTIERSEQ","VRWROWNO","VRWROWSEQ","VLCVWCID","CABPOSITION"
"8023","46","0","01","02","1","00","9","25","62"
"8023","46","0","01","02","1","01","10","25","62"
"8023","46","0","01","02","1","02","8","25","62"
"8023","46","0","01","02","1","03","11","25","62"
"8023","46","0","01","02","1","04","7","25","62"
"8023","46","0","01","04","2","00","9","25","62"
"8023","46","0","01","04","2","01","10","25","62"
"8023","46","0","01","04","2","02","8","25","62"
"8023","46","0","01","04","2","03","11","25","62"
"8023","46","0","01","04","2","04","7","25","62"
"8023","46","0","01","06","3","00","9","25","62"
"8023","46","0","01","06","3","01","10","25","62"
"8023","46","0","01","06","3","02","8","25","62"
"8023","46","0","01","06","3","03","11","25","62"
"8023","46","0","01","06","3","04","7","25","62"
"8023","46","0","01","08","4","00","9","25","62"
"8023","46","0","01","08","4","01","10","25","62"
"8023","46","0","01","08","4","02","8","25","62"
"8023","46","0","01","08","4","03","11","25","62"
"8023","46","0","01","08","4","04","7","25","62"
"8023","46","0","01","10","5","00","9","25","62"
"8023","46","0","01","10","5","01","10","25","62"
"8023","46","0","01","10","5","02","8","25","62"
"8023","46","0","01","10","5","03","11","25","62"
"8023","46","0","01","10","5","04","7","25","62"
"8023","46","0","01","12","6","00","9","25","62"
"8023","46","0","01","12","6","01","10","25","62"
"8023","46","0","01","12","6","02","8","25","62"
"8023","46","0","01","12","6","03","11","25","62"
"8023","46","0","01","12","6","04","7","25","62"
"8023","46","0","01","14","7","00","9","25","62"
"8023","46","0","01","14","7","01","10","25","62"
"8023","46","0","01","14","7","02","8","25","62"
"8023","46","0","01","14","7","03","11","25","62"
"8023","46","0","01","14","7","04","7","25","62"
"8023","46","0","01","16","8","00","9","25","62"
"8023","46","0","01","16","8","01","10","25","62"
"8023","46","0","01","16","8","02","8","25","62"
"8023","46","0","01","16","8","03","11","25","62"
"8023","46","0","01","16","8","04","7","25","62"
"8023","46","0","01","18","9","00","9","25","62"
"8023","46","0","01","18","9","01","10","25","62"
"8023","46","0","01","18","9","02","8","25","62"
"8023","46","0","01","18","9","03","11","25","62"
"8023","46","0","01","18","9","04","7","25","62"
"8023","46","0","01","72","1","00","9","25","62"
"8023","46","0","01","72","1","01","10","25","62"
"8023","46","0","01","72","1","02","8","25","62"
"8023","46","0","01","72","1","03","11","25","62"
"8023","46","0","01","72","1","04","7","25","62"
"8023","46","0","01","72","1","05","12","25","62"
"8023","46","0","01","72","1","06","6","25","62"
"8023","46","0","01","72","1","07","13","25","62"
"8023","46","0","01","72","1","08","5","25","62"
"8023","46","0","01","74","2","00","9","25","62"
"8023","46","0","01","74","2","01","10","25","62"
"8023","46","0","01","74","2","02","8","25","62"
"8023","46","0","01","74","2","03","11","25","62"
"8023","46","0","01","74","2","04","7","25","62"
"8023","46","0","01","74","2","05","12","25","62"
"8023","46","0","01","74","2","06","6","25","62"
"8023","46","0","01","74","2","07","13","25","62"
"8023","46","0","01","74","2","08","5","25","62"
"8023","46","0","01","76","3","00","9","25","62"
"8023","46","0","01","76","3","01","10","25","62"
"8023","46","0","01","76","3","02","8","25","62"
"8023","46","0","01","76","3","03","11","25","62"
"8023","46","0","01","76","3","04","7","25","62"
"8023","46","0","01","76","3","05","12","25","62"
"8023","46","0","01","76","3","06","6","25","62"
"8023","46","0","01","76","3","07","13","25","62"
"8023","46","0","01","76","3","08","5","25","62"
"8023","46","0","01","78","4","00","9","25","62"
"8023","46","0","01","78","4","01","10","25","62"
"8023","46","0","01","78","4","02","8","25","62"
"8023","46","0","01","78","4","03","11","25","62"
"8023","46","0","01","78","4","04","7","25","62"
"8023","46","0","01","78","4","05","12","25","62"
"8023","46","0","01","78","4","06","6","25","62"
"8023","46","0","01","78","4","07","13","25","62"
"8023","46","0","01","78","4","08","5","25","62"
"8023","46","0","01","80","5","00","9","25","62"
"8023","46","0","01","80","5","01","10","25","62"
"8023","46","0","01","80","5","02","8","25","62"
"8023","46","0","01","80","5","03","11","25","62"
"8023","46","0","01","80","5","04","7","25","62"
"8023","46","0","01","80","5","05","12","25","62"
"8023","46","0","01","80","5","06","6","25","62"
"8023","46","0","01","80","5","07","13","25","62"
"8023","46","0","01","80","5","08","5","25","62"
"8023","46","0","01","82","6","00","9","25","62"
"8023","46","0","01","82","6","01","10","25","62"
"8023","46","0","01","82","6","02","8","25","62"
"8023","46","0","01","82","6","03","11","25","62"
"8023","46","0","01","82","6","04","7","25","62"
"8023","46","0","01","82","6","05","12","25","62"
"8023","46","0","01","82","6","06","6","25","62"
"8023","46","0","01","82","6","07","13","25","62"
