"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","34298","3600","46","00","92","40","","GP","D","1","","XXXXX","N"
"","34298","3600","46","02","92","40","","GP","D","1","","XXXXX","N"
"","34294","2200","31","00","90","20","","GP","D","1","","CNSHA","N"
"","34294","2200","31","02","90","20","","GP","D","1","","CNSHA","N"
"","34294","2200","29","00","90","20","","GP","D","1","","CNSHA","N"
"","34294","2200","31","00","92","20","","GP","D","1","","CNSHA","N"
"","34289","4200","10","00","88","45","","GP","D","1","","CNSHA","N"
"","34289","4200","10","01","90","45","","GP","D","1","","CNSHA","N"
"","34294","2200","29","01","90","20","","GP","D","1","","CNSHA","N"
"","34294","2200","29","02","90","20","","GP","D","1","","CNSHA","N"
"","34294","2200","29","01","88","20","","GP","D","1","","CNSHA","N"
"","34294","2200","31","01","90","20","","GP","D","1","","CNSHA","N"
"","34294","3600","30","16","88","40","","GP","D","1","","CNSHA","N"
"","34289","4200","10","00","90","45","","GP","D","1","","CNSHA","N"
"","34289","4200","10","01","88","45","","GP","D","1","","CNSHA","N"
"","34289","4200","10","02","90","45","","GP","D","1","","CNSHA","N"
"","34296","3600","38","14","78","40","","GP","D","1","","CNSHA","N"
"","34296","3600","38","15","72","40","","GP","D","1","","CNSHA","N"
"","34296","3600","38","15","74","40","","GP","D","1","","CNSHA","N"
"","34296","3600","38","15","76","40","","GP","D","1","","CNSHA","N"
"","34296","3600","38","16","72","40","","GP","D","1","","CNSHA","N"
"","34296","3600","38","16","74","40","","GP","D","1","","CNMAA","N"
"","34296","3600","38","16","76","40","","GP","D","1","","HKHKG","N"
"","34296","2200","39","05","02","20","","GP","D","1","","CIABJ","N"
"","34296","2200","39","05","04","20","","GP","D","1","","CNNKG","N"
"","34296","2200","39","05","06","20","","GP","D","1","","CNSHA","N"
"","34296","2200","39","05","72","20","","RF","D","1","","CNSHA","N"
"","34296","2200","39","06","72","20","","GP","D","1","","CNSHA","N"
"","34296","2200","39","07","02","20","","OT","D","1","","GHTEM","N"
