"VHTID","LENGTH","VHTPOSITION","VBYBAYID","VTRTIERNO","VTRTIERSEQ","VRWROWNO","VRWROWSEQ","VLCVWCID","CABPOSITION"
"34287","46","1029","01","02","1","01","10","25","62"
"34287","46","1029","01","02","1","00","9","25","62"
"34287","46","1029","01","02","1","02","8","25","62"
"34287","46","1029","01","02","1","03","11","25","62"
"34287","46","1029","01","02","1","04","7","25","62"
"34287","46","1029","01","04","2","01","10","25","62"
"34287","46","1029","01","04","2","00","9","25","62"
"34287","46","1029","01","04","2","02","8","25","62"
"34287","46","1029","01","04","2","03","11","25","62"
"34287","46","1029","01","04","2","04","7","25","62"
"34287","46","1029","01","06","3","01","10","25","62"
"34287","46","1029","01","06","3","00","9","25","62"
"34287","46","1029","01","06","3","02","8","25","62"
"34287","46","1029","01","06","3","03","11","25","62"
"34287","46","1029","01","06","3","04","7","25","62"
"34287","46","1029","01","08","4","01","10","25","62"
"34287","46","1029","01","08","4","00","9","25","62"
"34287","46","1029","01","08","4","02","8","25","62"
"34287","46","1029","01","08","4","03","11","25","62"
"34287","46","1029","01","08","4","04","7","25","62"
"34287","46","1029","01","10","5","01","10","25","62"
"34287","46","1029","01","10","5","00","9","25","62"
"34287","46","1029","01","10","5","02","8","25","62"
"34287","46","1029","01","10","5","03","11","25","62"
"34287","46","1029","01","10","5","04","7","25","62"
"34287","46","1029","01","12","6","01","10","25","62"
"34287","46","1029","01","12","6","00","9","25","62"
"34287","46","1029","01","12","6","02","8","25","62"
"34287","46","1029","01","12","6","03","11","25","62"
"34287","46","1029","01","12","6","04","7","25","62"
"34287","46","1029","01","14","7","01","10","25","62"
"34287","46","1029","01","14","7","00","9","25","62"
"34287","46","1029","01","14","7","02","8","25","62"
"34287","46","1029","01","14","7","03","11","25","62"
"34287","46","1029","01","14","7","04","7","25","62"
"34287","46","1029","01","16","8","01","10","25","62"
"34287","46","1029","01","16","8","00","9","25","62"
"34287","46","1029","01","16","8","02","8","25","62"
"34287","46","1029","01","16","8","03","11","25","62"
"34287","46","1029","01","16","8","04","7","25","62"
"34287","46","1029","01","18","9","01","10","25","62"
"34287","46","1029","01","18","9","00","9","25","62"
"34287","46","1029","01","18","9","02","8","25","62"
"34287","46","1029","01","18","9","03","11","25","62"
"34287","46","1029","01","18","9","04","7","25","62"
"34287","46","1029","01","72","1","06","6","25","62"
"34287","46","1029","01","72","1","04","7","25","62"
"34287","46","1029","01","72","1","02","8","25","62"
"34287","46","1029","01","72","1","00","9","25","62"
"34287","46","1029","01","72","1","01","10","25","62"
"34287","46","1029","01","72","1","03","11","25","62"
"34287","46","1029","01","72","1","05","12","25","62"
"34287","46","1029","01","72","1","07","13","25","62"
"34287","46","1029","01","72","1","08","5","25","62"
"34287","46","1029","01","74","2","06","6","25","62"
"34287","46","1029","01","74","2","04","7","25","62"
"34287","46","1029","01","74","2","02","8","25","62"
"34287","46","1029","01","74","2","00","9","25","62"
"34287","46","1029","01","74","2","01","10","25","62"
"34287","46","1029","01","74","2","03","11","25","62"
"34287","46","1029","01","74","2","05","12","25","62"
"34287","46","1029","01","74","2","07","13","25","62"
"34287","46","1029","01","74","2","08","5","25","62"
"34287","46","1029","01","76","3","06","6","25","62"
"34287","46","1029","01","76","3","04","7","25","62"
"34287","46","1029","01","76","3","02","8","25","62"
"34287","46","1029","01","76","3","00","9","25","62"
"34287","46","1029","01","76","3","01","10","25","62"
"34287","46","1029","01","76","3","03","11","25","62"
"34287","46","1029","01","76","3","05","12","25","62"
"34287","46","1029","01","76","3","07","13","25","62"
"34287","46","1029","01","76","3","08","5","25","62"
"34287","46","1029","01","78","4","06","6","25","62"
"34287","46","1029","01","78","4","04","7","25","62"
"34287","46","1029","01","78","4","02","8","25","62"
"34287","46","1029","01","78","4","00","9","25","62"
"34287","46","1029","01","78","4","01","10","25","62"
"34287","46","1029","01","78","4","03","11","25","62"
"34287","46","1029","01","78","4","05","12","25","62"
"34287","46","1029","01","78","4","07","13","25","62"
"34287","46","1029","01","78","4","08","5","25","62"
"34287","46","1029","01","80","5","06","6","25","62"
"34287","46","1029","01","80","5","04","7","25","62"
"34287","46","1029","01","80","5","02","8","25","62"
"34287","46","1029","01","80","5","00","9","25","62"
"34287","46","1029","01","80","5","01","10","25","62"
"34287","46","1029","01","80","5","03","11","25","62"
"34287","46","1029","01","80","5","05","12","25","62"
"34287","46","1029","01","80","5","07","13","25","62"
"34287","46","1029","01","80","5","08","5","25","62"
"34287","46","1029","01","82","6","06","6","25","62"
"34287","46","1029","01","82","6","04","7","25","62"
"34287","46","1029","01","82","6","02","8","25","62"
"34287","46","1029","01","82","6","00","9","25","62"
"34287","46","1029","01","82","6","01","10","25","62"
"34287","46","1029","01","82","6","03","11","25","62"
"34287","46","1029","01","82","6","05","12","25","62"
"34287","46","1029","01","82","6","07","13","25","62"
"34287","46","1029","01","82","6","08","5","25","62"
"34287","46","1029","01","84","7","06","6","25","62"
"34287","46","1029","01","84","7","04","7","25","62"
"34287","46","1029","01","84","7","02","8","25","62"
"34287","46","1029","01","84","7","00","9","25","62"
"34287","46","1029","01","84","7","01","10","25","62"
"34287","46","1029","01","84","7","03","11","25","62"
"34287","46","1029","01","84","7","05","12","25","62"
"34287","46","1029","01","84","7","07","13","25","62"
"34287","46","1029","01","84","7","08","5","25","62"
"34287","46","1029","01","86","8","06","6","25","62"
"34287","46","1029","01","86","8","04","7","25","62"
"34287","46","1029","01","86","8","02","8","25","62"
"34287","46","1029","01","86","8","00","9","25","62"
"34287","46","1029","01","86","8","01","10","25","62"
"34287","46","1029","01","86","8","03","11","25","62"
"34287","46","1029","01","86","8","05","12","25","62"
"34287","46","1029","01","86","8","07","13","25","62"
"34287","46","1029","01","86","8","08","5","25","62"
"34287","46","1029","01","88","9","06","6","25","62"
"34287","46","1029","01","88","9","04","7","25","62"
"34287","46","1029","01","88","9","02","8","25","62"
"34287","46","1029","01","88","9","00","9","25","62"
"34287","46","1029","01","88","9","01","10","25","62"
"34287","46","1029","01","88","9","03","11","25","62"
"34287","46","1029","01","88","9","05","12","25","62"
"34287","46","1029","01","88","9","07","13","25","62"
"34287","46","1029","01","88","9","08","5","25","62"
"34287","46","1029","01","90","10","06","6","25","62"
"34287","46","1029","01","90","10","04","7","25","62"
"34287","46","1029","01","90","10","02","8","25","62"
"34287","46","1029","01","90","10","00","9","25","62"
"34287","46","1029","01","90","10","01","10","25","62"
"34287","46","1029","01","90","10","03","11","25","62"
"34287","46","1029","01","90","10","05","12","25","62"
"34287","46","1029","01","90","10","07","13","25","62"
"34287","46","1029","01","90","10","08","5","25","62"
"34287","46","1029","01","98","11","06","6","25","62"
"34287","46","1029","01","98","11","04","7","25","62"
"34287","46","1029","01","98","11","02","8","25","62"
"34287","46","1029","01","98","11","00","9","25","62"
"34287","46","1029","01","98","11","01","10","25","62"
"34287","46","1029","01","98","11","03","11","25","62"
"34287","46","1029","01","98","11","05","12","25","62"
"34287","46","1029","01","98","11","07","13","25","62"
"34287","46","1029","01","98","11","08","5","25","62"
"34287","46","1029","03","08","4","00","9","25","62"
"34287","46","1029","03","08","4","01","10","25","62"
"34287","46","1029","03","08","4","02","8","25","62"
"34287","46","1029","03","08","4","03","11","25","62"
"34287","46","1029","03","08","4","04","7","25","62"
"34287","46","1029","03","10","5","00","9","25","62"
"34287","46","1029","03","10","5","01","10","25","62"
"34287","46","1029","03","10","5","02","8","25","62"
"34287","46","1029","03","10","5","03","11","25","62"
"34287","46","1029","03","10","5","04","7","25","62"
"34287","46","1029","03","12","6","00","9","25","62"
"34287","46","1029","03","12","6","01","10","25","62"
"34287","46","1029","03","12","6","02","8","25","62"
"34287","46","1029","03","12","6","03","11","25","62"
"34287","46","1029","03","12","6","04","7","25","62"
"34287","46","1029","03","14","7","00","9","25","62"
"34287","46","1029","03","14","7","01","10","25","62"
"34287","46","1029","03","14","7","02","8","25","62"
"34287","46","1029","03","14","7","03","11","25","62"
"34287","46","1029","03","14","7","04","7","25","62"
"34287","46","1029","03","16","8","00","9","25","62"
"34287","46","1029","03","16","8","01","10","25","62"
"34287","46","1029","03","16","8","02","8","25","62"
"34287","46","1029","03","16","8","03","11","25","62"
"34287","46","1029","03","16","8","04","7","25","62"
"34287","46","1029","03","72","1","01","10","25","62"
"34287","46","1029","03","72","1","03","11","25","62"
"34287","46","1029","03","72","1","05","12","25","62"
"34287","46","1029","03","72","1","07","13","25","62"
"34287","46","1029","03","72","1","09","14","25","62"
"34287","46","1029","03","72","1","10","4","25","62"
"34287","46","1029","03","72","1","08","5","25","62"
"34287","46","1029","03","72","1","06","6","25","62"
"34287","46","1029","03","72","1","04","7","25","62"
"34287","46","1029","03","72","1","02","8","25","62"
"34287","46","1029","03","72","1","00","9","25","62"
"34287","46","1029","03","74","2","01","10","25","62"
"34287","46","1029","03","74","2","03","11","25","62"
"34287","46","1029","03","74","2","05","12","25","62"
"34287","46","1029","03","74","2","07","13","25","62"
"34287","46","1029","03","74","2","09","14","25","62"
"34287","46","1029","03","74","2","10","4","25","62"
"34287","46","1029","03","74","2","08","5","25","62"
"34287","46","1029","03","74","2","06","6","25","62"
"34287","46","1029","03","74","2","04","7","25","62"
"34287","46","1029","03","74","2","02","8","25","62"
"34287","46","1029","03","74","2","00","9","25","62"
"34287","46","1029","03","76","3","01","10","25","62"
"34287","46","1029","03","76","3","03","11","25","62"
"34287","46","1029","03","76","3","05","12","25","62"
"34287","46","1029","03","76","3","07","13","25","62"
"34287","46","1029","03","76","3","09","14","25","62"
"34287","46","1029","03","76","3","10","4","25","62"
"34287","46","1029","03","76","3","08","5","25","62"
"34287","46","1029","03","76","3","06","6","25","62"
"34287","46","1029","03","76","3","04","7","25","62"
"34287","46","1029","03","76","3","02","8","25","62"
"34287","46","1029","03","76","3","00","9","25","62"
"34287","46","1029","03","78","4","01","10","25","62"
"34287","46","1029","03","78","4","03","11","25","62"
"34287","46","1029","03","78","4","05","12","25","62"
"34287","46","1029","03","78","4","07","13","25","62"
"34287","46","1029","03","78","4","09","14","25","62"
"34287","46","1029","03","78","4","10","4","25","62"
"34287","46","1029","03","78","4","08","5","25","62"
"34287","46","1029","03","78","4","06","6","25","62"
"34287","46","1029","03","78","4","04","7","25","62"
"34287","46","1029","03","78","4","02","8","25","62"
"34287","46","1029","03","78","4","00","9","25","62"
"34287","46","1029","03","80","5","01","10","25","62"
"34287","46","1029","03","80","5","03","11","25","62"
"34287","46","1029","03","80","5","05","12","25","62"
"34287","46","1029","03","80","5","07","13","25","62"
"34287","46","1029","03","80","5","09","14","25","62"
"34287","46","1029","03","80","5","10","4","25","62"
"34287","46","1029","03","80","5","08","5","25","62"
"34287","46","1029","03","80","5","06","6","25","62"
"34287","46","1029","03","80","5","04","7","25","62"
"34287","46","1029","03","80","5","02","8","25","62"
"34287","46","1029","03","80","5","00","9","25","62"
"34287","46","1029","03","82","6","01","10","25","62"
"34287","46","1029","03","82","6","03","11","25","62"
"34287","46","1029","03","82","6","05","12","25","62"
"34287","46","1029","03","82","6","07","13","25","62"
"34287","46","1029","03","82","6","09","14","25","62"
"34287","46","1029","03","82","6","10","4","25","62"
"34287","46","1029","03","82","6","08","5","25","62"
"34287","46","1029","03","82","6","06","6","25","62"
"34287","46","1029","03","82","6","04","7","25","62"
"34287","46","1029","03","82","6","02","8","25","62"
"34287","46","1029","03","82","6","00","9","25","62"
"34287","46","1029","03","84","7","01","10","25","62"
"34287","46","1029","03","84","7","03","11","25","62"
"34287","46","1029","03","84","7","05","12","25","62"
"34287","46","1029","03","84","7","07","13","25","62"
"34287","46","1029","03","84","7","09","14","25","62"
"34287","46","1029","03","84","7","10","4","25","62"
"34287","46","1029","03","84","7","08","5","25","62"
"34287","46","1029","03","84","7","06","6","25","62"
"34287","46","1029","03","84","7","04","7","25","62"
"34287","46","1029","03","84","7","02","8","25","62"
"34287","46","1029","03","84","7","00","9","25","62"
"34287","46","1029","03","86","8","01","10","25","62"
"34287","46","1029","03","86","8","03","11","25","62"
"34287","46","1029","03","86","8","05","12","25","62"
"34287","46","1029","03","86","8","07","13","25","62"
"34287","46","1029","03","86","8","09","14","25","62"
"34287","46","1029","03","86","8","10","4","25","62"
"34287","46","1029","03","86","8","08","5","25","62"
"34287","46","1029","03","86","8","06","6","25","62"
"34287","46","1029","03","86","8","04","7","25","62"
"34287","46","1029","03","86","8","02","8","25","62"
"34287","46","1029","03","86","8","00","9","25","62"
"34287","46","1029","03","88","9","01","10","25","62"
"34287","46","1029","03","88","9","03","11","25","62"
"34287","46","1029","03","88","9","05","12","25","62"
"34287","46","1029","03","88","9","07","13","25","62"
"34287","46","1029","03","88","9","09","14","25","62"
"34287","46","1029","03","88","9","10","4","25","62"
"34287","46","1029","03","88","9","08","5","25","62"
"34287","46","1029","03","88","9","06","6","25","62"
"34287","46","1029","03","88","9","04","7","25","62"
"34287","46","1029","03","88","9","02","8","25","62"
"34287","46","1029","03","88","9","00","9","25","62"
"34287","46","1029","03","90","10","01","10","25","62"
"34287","46","1029","03","90","10","03","11","25","62"
"34287","46","1029","03","90","10","05","12","25","62"
"34287","46","1029","03","90","10","07","13","25","62"
"34287","46","1029","03","90","10","09","14","25","62"
"34287","46","1029","03","90","10","10","4","25","62"
"34287","46","1029","03","90","10","08","5","25","62"
"34287","46","1029","03","90","10","06","6","25","62"
"34287","46","1029","03","90","10","04","7","25","62"
"34287","46","1029","03","90","10","02","8","25","62"
"34287","46","1029","03","90","10","00","9","25","62"
"34287","46","1029","03","98","11","01","10","25","62"
"34287","46","1029","03","98","11","03","11","25","62"
"34287","46","1029","03","98","11","05","12","25","62"
"34287","46","1029","03","98","11","07","13","25","62"
"34287","46","1029","03","98","11","09","14","25","62"
"34287","46","1029","03","98","11","10","4","25","62"
"34287","46","1029","03","98","11","08","5","25","62"
