"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","10505","3600","34","07","10","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","07","12","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","07","14","40","","GP","D","1","","KRPUS","N"
"","10505","2200","35","04","04","20","","GP","D","1","","CNNTG","N"
"","10505","2200","35","04","02","20","","GP","D","1","","CNSHA","N"
"","10505","3600","34","08","10","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","08","08","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","08","12","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","07","16","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","07","18","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","07","78","40","","GP","D","1","","KRPUS","N"
"","10505","2200","35","01","08","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","02","02","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","04","08","20","","GP","D","1","","KRPUS","N"
"","10505","2200","35","05","02","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","05","04","20","","GP","D","1","","CNNTG","N"
"","10505","2200","35","05","06","20","","GP","D","1","","CNNTG","N"
"","10505","2200","35","05","08","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","06","02","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","06","04","20","","GP","D","1","","CNNTG","N"
"","10505","2200","35","04","06","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","06","06","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","07","02","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","07","04","20","","GP","D","1","","KRPUS","N"
"","10505","2200","35","07","06","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","08","02","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","03","06","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","03","08","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","08","06","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","08","04","20","","GP","D","1","","CNNTG","N"
"","10505","3600","34","02","16","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","02","18","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","02","82","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","03","10","40","","GP","D","1","","CNZJG","N"
"","10505","2200","35","02","06","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","02","04","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","02","08","20","","GP","D","1","","CNSHA","N"
"","10505","3600","34","03","80","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","04","10","40","","GP","D","1","","CNSHA","N"
"","10505","2200","35","01","04","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","01","06","20","","GP","D","1","","CNSHA","N"
"","10505","3600","34","01","12","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","01","14","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","02","10","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","02","12","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","02","14","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","02","78","40","","RF","D","1","","KRPUS","N"
"","10505","3600","34","02","80","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","04","12","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","04","14","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","04","16","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","04","18","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","04","78","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","04","80","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","05","10","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","05","12","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","05","14","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","05","16","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","05","18","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","05","78","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","05","80","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","06","08","40","","GP","D","1","","KRPUS","N"
"","10505","3600","34","06","10","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","06","12","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","07","80","40","","GP","D","1","","KRPUS","N"
"","10505","3600","34","06","14","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","06","16","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","06","18","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","06","78","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","06","80","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","07","08","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","08","14","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","08","16","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","08","18","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","08","78","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","08","80","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","03","12","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","03","14","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","03","16","40","","GP","D","1","","RUVVO","N"
"","10505","3600","34","03","18","40","","GP","D","1","","CNSHA","N"
"","10505","3600","34","03","78","40","","GP","D","1","","CNSHA","N"
"","10505","2200","35","03","02","20","","GP","D","1","","CNSHA","N"
"","10505","2200","35","03","04","20","","GP","D","1","","CNNTG","N"
"","10505","3600","34","01","16","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","01","18","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","01","78","40","","RF","D","1","","KRPUS","N"
"","10505","3600","34","01","80","40","","GP","D","1","","CNZJG","N"
"","10505","3600","34","01","82","40","","GP","D","1","","KRPUS","N"
"","10497","2200","03","02","14","20","","GP","D","1","","CNSHA","N"
"","10503","2200","25","14","78","20","","GP","D","1","","XXXXX","N"
"","10503","3600","26","02","16","40","","GP","D","1","","CNZJG","N"
"","10503","3600","26","02","78","40","","RF","D","1","","CNSHA","N"
