"VHTID","LENGTH","VHTPOSITION","VBYBAYID","VTRTIERNO","VTRTIERSEQ","VRWROWNO","VRWROWSEQ","VLCVWCID","CABPOSITION"
"10497","46","0","01","02","1","01","10","25","58"
"10497","46","0","01","02","1","02","9","25","58"
"10497","46","0","01","02","1","03","11","25","58"
"10497","46","0","01","02","1","04","8","25","58"
"10497","46","0","01","02","1","05","12","25","58"
"10497","46","0","01","02","1","06","7","25","58"
"10497","46","0","01","02","1","10","5","25","58"
"10497","46","0","01","02","1","08","6","25","58"
"10497","46","0","01","02","1","07","13","25","58"
"10497","46","0","01","02","1","09","14","25","58"
"10497","46","0","01","04","2","01","10","25","58"
"10497","46","0","01","04","2","02","9","25","58"
"10497","46","0","01","04","2","03","11","25","58"
"10497","46","0","01","04","2","04","8","25","58"
"10497","46","0","01","04","2","05","12","25","58"
"10497","46","0","01","04","2","06","7","25","58"
"10497","46","0","01","04","2","10","5","25","58"
"10497","46","0","01","04","2","08","6","25","58"
"10497","46","0","01","04","2","07","13","25","58"
"10497","46","0","01","04","2","09","14","25","58"
"10497","46","0","01","06","3","01","10","25","58"
"10497","46","0","01","06","3","02","9","25","58"
"10497","46","0","01","06","3","03","11","25","58"
"10497","46","0","01","06","3","04","8","25","58"
"10497","46","0","01","06","3","05","12","25","58"
"10497","46","0","01","06","3","06","7","25","58"
"10497","46","0","01","06","3","10","5","25","58"
"10497","46","0","01","06","3","08","6","25","58"
"10497","46","0","01","06","3","07","13","25","58"
"10497","46","0","01","06","3","09","14","25","58"
"10497","46","0","01","08","4","01","10","25","58"
"10497","46","0","01","08","4","02","9","25","58"
"10497","46","0","01","08","4","03","11","25","58"
"10497","46","0","01","08","4","04","8","25","58"
"10497","46","0","01","08","4","05","12","25","58"
"10497","46","0","01","08","4","06","7","25","58"
"10497","46","0","01","08","4","10","5","25","58"
"10497","46","0","01","08","4","08","6","25","58"
"10497","46","0","01","08","4","07","13","25","58"
"10497","46","0","01","08","4","09","14","25","58"
"10497","46","0","01","10","5","01","10","25","58"
"10497","46","0","01","10","5","02","9","25","58"
"10497","46","0","01","10","5","03","11","25","58"
"10497","46","0","01","10","5","04","8","25","58"
"10497","46","0","01","10","5","05","12","25","58"
"10497","46","0","01","10","5","06","7","25","58"
