"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","10558","3800","70","16","20","40","","GP","L","1","","SIKOP","N"
"","10552","2000","47","06","02","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","06","02","20","","GP","L","2","","ILHFA","N"
"","10552","2000","47","06","04","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","06","04","20","","GP","L","2","","ILHFA","N"
"","10552","2200","47","06","06","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","06","06","20","","GP","L","2","","ILHFA","N"
"","10553","2200","51","06","78","20","","GP","L","2","","ITTRS","N"
"","10553","2200","49","02","78","20","","GP","L","2","","ITTRS","N"
"","10553","2200","51","02","78","20","","GP","L","2","","ITTRS","N"
"","10543","3600","10","15","80","40","","GP","L","1","","SIKOP","N"
"","10553","2200","51","01","78","20","","GP","L","2","","ITTRS","N"
"","10552","2200","47","02","78","20","","GP","L","2","","ILHFA","N"
"","10552","3600","46","08","78","40","","GP","L","1","","ILHFA","N"
"","10552","3600","46","08","80","40","","GP","L","1","","ILHFA","N"
"","10552","3600","46","08","82","40","","GP","L","1","","ILHFA","N"
"","10552","3600","46","06","82","40","","GP","L","1","","ILHFA","N"
"","10552","3600","46","06","80","40","","GP","L","1","","ILHFA","N"
"","10552","3600","46","06","78","40","","GP","L","1","","ILHFA","N"
"","10543","2200","11","16","78","20","","GP","L","1","","SIKOP","N"
"","10558","4000","70","13","82","40","","GP","L","1","","SIKOP","N"
"","10558","3600","70","15","84","40","","GP","L","1","","SIKOP","N"
"","10558","3600","70","13","84","40","","GP","L","1","","SIKOP","N"
"","10558","3600","70","18","78","40","","HC","L","1","","SIKOP","N"
"","10558","3800","70","15","86","40","","GP","L","1","","SIKOP","N"
"","10558","3800","70","13","86","40","","GP","L","1","","SIKOP","N"
"","10543","2200","11","07","80","20","","GP","L","2","","SIKOP","N"
"","10543","2200","09","07","80","20","","GP","L","2","","SIKOP","N"
"","10543","2200","11","14","80","20","","GP","L","2","","SIKOP","N"
"","10543","2200","09","14","80","20","","GP","L","2","","SIKOP","N"
"","10543","2200","09","16","80","20","","GP","L","2","","SIKOP","N"
"","10543","2200","11","16","80","20","","GP","L","2","","SIKOP","N"
"","10558","2000","69","11","18","20","","GP","L","2","","SIKOP","N"
"","10558","2000","71","09","18","20","","GP","L","2","","SIKOP","N"
"","10546","3800","22","13","20","40","","GP","L","1","","SIKOP","N"
"","10546","4000","22","11","20","40","","GP","L","1","","SIKOP","N"
"","10546","3600","22","16","18","40","","GP","L","1","","SIKOP","N"
"","10546","3600","22","10","20","40","","GP","L","1","","SIKOP","N"
"","10546","4000","22","09","20","40","","GP","L","1","","SIKOP","N"
"","10546","3800","22","10","18","40","","GP","L","1","","SIKOP","N"
"","10546","3600","22","14","18","40","","GP","L","1","","SIKOP","N"
"","10546","3600","22","12","18","40","","GP","L","1","","SIKOP","N"
"","10546","3800","22","09","78","40","","GP","L","1","","SIKOP","N"
"","10546","3600","22","09","80","40","","HC","L","1","","SIKOP","N"
"","10552","2200","47","06","08","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","06","08","20","","GP","L","2","","ILHFA","N"
"","10552","2000","47","06","10","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","06","10","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","08","04","20","","GP","L","2","","ILHFA","N"
"","10552","2200","47","08","10","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","08","10","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","02","78","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","02","80","20","","GP","L","1","","ILHFA","N"
"","10552","2200","45","02","82","20","","GP","L","1","","ILHFA","N"
"","10552","2000","45","06","12","20","","GP","L","2","","ILHFA","N"
"","10552","2200","47","06","12","20","","GP","L","2","","ILHFA","N"
"","10552","2000","47","08","02","20","","GP","L","2","","ILHFA","N"
"","10558","2200","71","15","14","20","","GP","L","2","","SIKOP","N"
"","10558","2300","69","15","14","20","","GP","L","2","","SIKOP","N"
"","10558","2300","71","13","14","20","","GP","L","2","","SIKOP","N"
"","10552","2200","45","08","02","20","","GP","L","2","","ILHFA","N"
"","10552","2200","47","08","04","20","","GP","L","2","","ILHFA","N"
"","10552","2000","47","08","06","20","","GP","L","2","","ILHFA","N"
"","10552","2200","45","08","06","20","","GP","L","2","","ILHFA","N"
"","10552","2200","47","08","08","20","","GP","L","2","","ILHFA","N"
"","10552","2300","45","08","08","20","","GP","L","2","","ILHFA","N"
"","10543","3600","10","07","82","40","","GP","L","1","","SIKOP","N"
"","10553","2200","51","04","78","20","","GP","L","2","","ITTRS","N"
"","10553","2200","51","05","78","20","","GP","L","2","","ITTRS","N"
"","10553","2200","51","03","78","20","","GP","L","2","","ITTRS","N"
"","10553","2200","51","02","80","20","","GP","L","2","","ITTRS","N"
"","10552","3600","46","08","84","40","","GP","L","1","","ILHFA","N"
"","10543","3600","10","07","84","40","","GP","L","1","","SIKOP","N"
"","10547","2200","27","03","82","20","","GP","L","2","","ITTRS","N"
"","10553","2200","49","02","80","20","","GP","L","2","","ITTRS","N"
"","10553","2200","49","06","78","20","","GP","L","2","","ITTRS","N"
"","10553","2200","49","08","78","20","","GP","L","2","","ITTRS","N"
"","10553","2200","51","07","78","20","","GP","L","2","","ITTRS","N"
"","10552","2200","47","07","78","20","","GP","L","1","","ILHFA","N"
"","10552","2200","47","05","78","20","","GP","L","1","","ILHFA","N"
"","10558","2200","69","15","16","20","","GP","L","2","","SIKOP","N"
"","10553","2200","49","04","78","20","","GP","L","2","","ITTRS","N"
"","10547","3800","26","01","88","40","","GP","L","1","","ITTRS","N"
