"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","25084","3600","78","02","96","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","07","90","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","12","88","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","16","82","40","","GP","D","3","","SGSIN","N"
"","25084","3600","78","14","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","07","92","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","14","90","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","06","82","40","","GP","D","3","","CNSHA","N"
"","25076","3600","46","09","10","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","07","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","14","16","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","10","16","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","08","16","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","07","96","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","09","96","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","05","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","05","16","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","05","82","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","05","84","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","05","86","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","05","88","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","05","90","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","06","12","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","06","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","06","16","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","06","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","06","86","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","07","12","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","07","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","07","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","07","84","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","07","90","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","07","92","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","08","12","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","08","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","08","16","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","08","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","08","86","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","09","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","09","84","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","09","90","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","09","92","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","10","12","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","10","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","10","16","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","10","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","10","86","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","10","88","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","10","90","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","11","12","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","11","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","11","16","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","11","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","11","84","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","11","86","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","12","12","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","12","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","12","16","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","12","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","12","84","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","12","86","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","12","88","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","12","90","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","12","92","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","13","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","13","16","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","13","82","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","13","84","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","13","86","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","14","14","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","14","16","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","14","82","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","14","84","40","","GP","D","1","","CNSHA","N"
"","25084","3600","78","14","86","40","","GP","D","3","","CNSHA","N"
"","25084","3600","78","14","88","40","","GP","D","3","","CNSHA","N"
