"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","18140","2200","69","09","12","20","","GP","D","3","","CNSHA","N"
"","18140","2200","71","07","16","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","08","14","20","","GP","D","3","","CNSHA","N"
"","18140","2200","71","07","12","20","","GP","D","3","","CNSHA","N"
"","18140","3600","70","07","92","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","03","94","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","13","96","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","00","18","40","","GP","D","3","","CNNTG","N"
"","18140","3600","70","00","82","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","03","82","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","13","84","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","08","88","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","12","90","40","","GP","D","3","","CNSHA","N"
"","18140","2200","69","07","14","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","06","14","20","","GP","D","1","","CNSHA","N"
"","18140","2200","69","06","16","20","","GP","D","1","","CNSHA","N"
"","18140","2200","69","05","12","20","","GP","D","3","","CNSHA","N"
"","18140","2200","71","13","16","20","","GP","D","1","","CNSHA","N"
"","18140","2200","69","05","16","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","12","12","20","","GP","D","3","","CNSHA","N"
"","18140","2200","71","06","12","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","08","12","20","","GP","D","3","","CNSHA","N"
"","18140","3600","70","01","96","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","01","18","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","13","82","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","03","84","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","14","18","40","","GP","D","3","","CNNTG","N"
"","18140","2200","69","11","12","20","","GP","D","3","","CNSHA","N"
"","18140","3600","70","00","92","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","04","94","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","04","86","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","00","88","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","04","90","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","08","84","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","15","84","40","","GP","D","1","","CNSHA","N"
"","18140","3600","70","05","86","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","01","88","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","05","90","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","01","92","40","","GP","D","3","","CNSHA","N"
"","18140","3600","70","05","94","40","","GP","D","3","","CNSHA","N"
"","18140","2200","69","12","14","20","","GP","D","3","","CNSHA","N"
"","18140","3600","70","05","96","40","","GP","D","3","","CNSHA","N"
"","18140","2200","69","12","16","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","14","14","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","11","14","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","05","14","20","","GP","D","3","","CNSHA","N"
"","18140","2200","71","08","14","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","09","16","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","14","16","20","","GP","D","3","","CNSHA","N"
"","18140","2200","69","02","10","20","","GP","D","1","","CNSHA","N"
"","18140","2200","71","08","16","20","","GP","D","3","","CNSHA","N"
