"VHTID","LENGTH","VHTPOSITION","VBYBAYID","VTRTIERNO","VTRTIERSEQ","VRWROWNO","VRWROWSEQ","VLCVWCID","CABPOSITION"
"18111","46","1911","01","02","1","00","9","25","58"
"18111","46","1911","01","02","1","01","10","25","58"
"18111","46","1911","01","02","1","02","8","25","58"
"18111","46","1911","01","02","1","03","11","25","58"
"18111","46","1911","01","02","1","04","7","25","58"
"18111","46","1911","01","02","1","05","12","25","58"
"18111","46","1911","01","02","1","06","6","25","58"
"18111","46","1911","01","02","1","07","13","25","58"
"18111","46","1911","01","02","1","08","5","25","58"
"18111","46","1911","01","04","2","00","9","25","58"
"18111","46","1911","01","04","2","01","10","25","58"
"18111","46","1911","01","04","2","02","8","25","58"
"18111","46","1911","01","04","2","03","11","25","58"
"18111","46","1911","01","04","2","04","7","25","58"
"18111","46","1911","01","04","2","05","12","25","58"
"18111","46","1911","01","04","2","06","6","25","58"
"18111","46","1911","01","04","2","07","13","25","58"
"18111","46","1911","01","04","2","08","5","25","58"
"18111","46","1911","01","06","3","00","9","25","58"
"18111","46","1911","01","06","3","01","10","25","58"
"18111","46","1911","01","06","3","02","8","25","58"
"18111","46","1911","01","06","3","03","11","25","58"
"18111","46","1911","01","06","3","04","7","25","58"
"18111","46","1911","01","06","3","05","12","25","58"
"18111","46","1911","01","06","3","06","6","25","58"
"18111","46","1911","01","06","3","07","13","25","58"
"18111","46","1911","01","06","3","08","5","25","58"
"18111","46","1911","01","08","4","00","9","25","58"
"18111","46","1911","01","08","4","01","10","25","58"
"18111","46","1911","01","08","4","02","8","25","58"
"18111","46","1911","01","08","4","03","11","25","58"
"18111","46","1911","01","08","4","04","7","25","58"
"18111","46","1911","01","08","4","05","12","25","58"
"18111","46","1911","01","08","4","06","6","25","58"
"18111","46","1911","01","08","4","07","13","25","58"
"18111","46","1911","01","08","4","08","5","25","58"
"18111","46","1911","01","10","5","00","9","25","58"
"18111","46","1911","01","10","5","01","10","25","58"
"18111","46","1911","01","10","5","02","8","25","58"
"18111","46","1911","01","10","5","03","11","25","58"
"18111","46","1911","01","10","5","04","7","25","58"
"18111","46","1911","01","10","5","05","12","25","58"
"18111","46","1911","01","10","5","06","6","25","58"
"18111","46","1911","01","10","5","07","13","25","58"
