"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","18151","2200","03","04","84","20","","GP","D","3","","CNSHA","N"
"","18151","2200","01","03","90","20","","GP","D","1","","CNSHA","N"
"","18151","2200","01","02","82","20","","GP","D","3","","CNSHA","N"
"","18151","2200","03","04","82","20","","GP","D","3","","CNSHA","N"
"","18151","2200","03","13","86","20","","GP","D","1","","CNSHA","N"
"","18151","2200","01","06","84","20","","GP","D","1","","CNSHA","N"
"","18151","2200","01","11","86","20","","GP","D","1","","CNSHA","N"
"","18151","2200","03","06","16","20","","GP","D","1","","CNSHA","N"
"","18151","2200","01","04","16","20","","GP","D","3","","CNSHA","N"
"","18155","3600","18","04","82","40","","GP","D","1","","CNNTG","N"
"","18155","3600","18","04","84","40","","GP","D","1","","CNNTG","N"
"","18155","3600","18","04","86","40","","GP","D","1","","CNNTG","N"
"","18155","3600","18","04","88","40","","GP","D","1","","CNSHA","N"
"","18156","2200","21","13","82","20","","RF","D","1","","CNSHA","N"
"","18156","2200","21","13","84","20","","RF","D","1","","CNSHA","N"
"","18156","2200","21","15","84","20","","RF","D","1","","CNSHA","N"
"","18162","3600","46","00","90","40","","GP","D","3","","CNNGB","N"
"","18162","3600","46","02","90","40","","GP","D","3","","CNNGB","N"
"","18162","3600","46","01","90","40","","GP","D","3","","CNNGB","N"
"","18169","2200","75","06","14","20","","GP","D","3","","CNSHA","N"
"","18169","2200","75","02","14","20","","GP","D","3","","CNSHA","N"
"","18169","2200","75","15","88","20","","GP","D","1","","CNSHA","N"
"","18169","2200","75","11","82","20","","GP","D","3","","CNSHA","N"
"","18169","2200","73","11","86","20","","GP","D","3","","CNSHA","N"
"","18169","2200","75","09","90","20","","GP","D","3","","CNSHA","N"
"","18169","2200","73","15","90","20","","GP","D","1","","CNSHA","N"
"","18169","2200","75","15","92","20","","GP","D","3","","CNSHA","N"
"","18169","2200","73","13","94","20","","GP","D","1","","CNSHA","N"
"","18169","2200","75","13","16","20","","GP","D","1","","CNSHA","N"
"","18169","2200","75","09","16","20","","GP","D","3","","CNSHA","N"
"","18169","2200","73","15","82","20","","GP","D","1","","CNNGB","N"
"","18169","2200","73","09","84","20","","GP","D","3","","CNSHA","N"
"","18169","2200","75","13","82","20","","GP","D","3","","CNSHA","N"
"","18169","2200","73","15","88","20","","GP","D","1","","CNSHA","N"
"","18169","2200","75","11","88","20","","GP","D","3","","CNSHA","N"
"","18169","2200","75","11","92","20","","GP","D","3","","CNSHA","N"
"","18169","3600","74","02","18","40","","GP","D","3","","CNSHA","N"
