"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","38162","3600","78","05","92","40","","GP","D","1","","CNSHA","N"
"","38143","2200","03","02","16","20","","GP","D","3","","CNSHA","N"
"","38143","2200","01","00","12","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","01","14","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","05","16","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","04","16","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","06","18","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","02","14","20","","GP","D","3","","CNSHA","N"
"","38143","2200","01","01","18","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","00","14","20","","GP","D","3","","CNSHA","N"
"","38143","2200","01","00","18","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","04","18","20","","GP","D","3","","CNSHA","N"
"","38143","2200","01","03","16","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","02","18","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","00","16","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","02","18","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","01","16","20","","GP","D","3","","CNSHA","N"
"","38143","3600","02","03","18","40","","GP","D","1","","CNSHA","N"
"","38143","2200","01","02","16","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","04","14","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","01","14","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","04","16","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","00","12","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","01","10","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","01","12","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","02","14","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","06","16","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","02","10","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","02","12","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","00","14","20","","GP","D","3","","CNSHA","N"
"","38143","2200","01","00","10","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","04","18","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","03","14","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","03","16","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","05","18","20","","GP","D","1","","CNSHA","N"
"","38143","2200","03","00","18","20","","GP","D","3","","CNSHA","N"
"","38143","2200","01","00","16","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","00","10","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","06","18","20","","GP","D","3","","CNSHA","N"
"","38143","2200","03","05","18","20","","GP","D","1","","CNSHA","N"
"","38143","2200","01","01","16","20","","GP","D","3","","CNSHA","N"
"","38144","2200","05","14","82","20","","GP","D","1","","CNSHA","N"
"","38144","2200","05","14","84","20","","GP","D","1","","CNSHA","N"
"","38147","2200","17","01","06","20","","TK","D","1","","CNNKG","N"
"","38147","2200","17","01","08","20","","TK","D","1","","CNNKG","N"
"","38147","2200","17","02","02","20","","GP","D","1","","CNSHA","N"
"","38147","2200","17","02","04","20","","GP","D","1","","CNSHA","N"
"","38147","2200","17","02","06","20","","TK","D","1","","CNNKG","N"
"","38147","2200","17","02","08","20","","TK","D","1","","CNNKG","N"
"","38147","2200","17","04","82","20","","TK","D","1","","CNSHA","N"
"","38147","2200","17","04","84","20","","GP","D","1","","CNSHA","N"
"","38147","2200","17","06","82","20","","GP","D","1","","CNSHA","N"
"","38147","2200","17","06","84","20","","GP","D","1","","CNSHA","N"
"","38147","3600","18","02","14","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","04","14","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","02","82","40","","GP","D","1","","CNSHA","N"
"","38147","3600","18","01","16","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","01","18","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","12","82","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","00","84","40","","GP","D","1","","CNSHA","N"
"","38147","3600","18","02","12","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","04","12","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","11","82","40","","GP","D","1","","CNSHA","N"
"","38147","3600","18","01","14","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","00","14","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","10","82","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","01","84","40","","GP","D","1","","CNSHA","N"
"","38147","3600","18","00","16","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","02","16","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","00","18","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","04","16","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","10","84","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","02","84","40","","GP","D","1","","CNSHA","N"
"","38147","3600","18","02","10","40","","GP","D","3","","CNSHA","N"
"","38147","3600","18","04","06","40","","GP","D","1","","CNSHA","N"
"","38147","3600","18","03","02","40","","GP","D","1","","CNSHA","N"
"","38147","2200","17","00","02","20","","GP","D","1","","CNSHA","N"
"","38147","2200","17","00","04","20","","GP","D","1","","CNSHA","N"
"","38147","2200","17","00","06","20","","TK","D","1","","CNNKG","N"
"","38147","2200","17","00","08","20","","TK","D","1","","CNNKG","N"
"","38147","2200","17","01","02","20","","GP","D","1","","CNSHA","N"
"","38147","2200","17","01","04","20","","GP","D","1","","CNSHA","N"
"","38147","3600","18","03","08","40","","GP","D","1","","CNSHA","N"
"","38150","3600","30","10","06","40","","GP","D","1","","CNSHA","N"
"","38150","3600","30","09","08","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","05","10","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","06","08","40","","GP","D","1","","CNSHA","N"
"","38150","3600","30","07","18","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","11","14","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","07","14","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","07","82","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","07","84","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","07","86","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","07","06","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","10","04","40","","GP","D","1","","CNSHA","N"
"","38150","3600","30","09","10","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","09","90","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","10","14","40","","GP","D","3","","CNSHA","N"
"","38150","3600","30","09","82","40","","GP","D","3","","CNSHA","N"
