"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","30526","2200","17","03","06","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","03","08","20","","FR","D","1","","CNSHA","N"
"","30526","2200","17","01","06","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","02","02","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","02","04","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","03","02","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","03","04","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","84","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","86","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","88","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","01","02","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","01","04","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","02","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","04","20","","GP","D","1","","CNTCN","N"
"","30526","2200","17","04","06","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","08","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","10","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","82","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","90","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","04","92","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","05","02","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","05","04","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","05","06","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","05","08","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","06","02","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","06","08","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","07","04","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","06","04","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","06","06","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","07","06","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","07","08","20","","GP","D","1","","CNSHA","N"
"","30526","2200","17","08","04","20","","GP","D","1","","CNSHA","N"
