"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","33724","3600","06","19","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","17","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","19","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","09","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","11","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","13","82","40","","GP","L","1","","CNTAO","N"
"","33723","2200","03","01","82","20","","GP","L","2","","CNTAO","N"
"","33723","2200","01","01","82","20","","GP","L","2","","CNTAO","N"
"","33723","2200","03","01","84","20","","GP","L","2","","CNTAO","N"
"","33723","2200","01","01","84","20","","GP","L","2","","CNTAO","N"
"","33723","2200","03","02","82","20","","GP","L","2","","CNTAO","N"
"","33723","2200","01","02","82","20","","GP","L","2","","CNTAO","N"
"","33723","2200","01","02","84","20","","GP","L","1","","CNTAO","N"
"","33724","3600","06","20","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","18","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","15","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","09","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","11","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","13","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","15","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","09","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","11","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","13","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","09","88","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","15","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","17","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","19","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","11","88","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","13","88","40","","GP","L","1","","CNTAO","N"
"","33724","4000","06","15","88","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","16","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","14","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","12","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","10","82","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","20","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","18","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","16","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","14","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","12","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","10","84","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","20","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","18","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","16","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","14","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","12","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","10","86","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","16","88","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","14","88","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","12","88","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","10","88","40","","GP","L","1","","CNTAO","N"
"","33724","3600","06","17","82","40","","GP","L","1","","CNTAO","N"
"","33734","3600","46","04","88","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","02","88","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","01","84","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","03","84","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","01","86","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","03","86","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","01","88","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","03","88","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","05","82","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","07","82","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","02","86","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","05","84","40","","GP","L","1","","CNDLC","N"
"","33734","3600","46","07","84","40","","GP","L","1","","CNDLC","N"
