"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","31963","3600","10","18","82","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","18","84","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","18","88","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","14","86","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","20","82","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","20","84","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","20","88","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","14","88","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","18","86","40","","GP","D","3","","CNWUH","N"
"","31963","3600","10","14","82","40","","GP","D","3","","CNWHI","N"
"","31963","3600","10","16","84","40","","GP","D","3","","JPNGO","N"
"","31963","3600","10","16","86","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","07","88","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","20","86","40","","GP","D","3","","CNWUH","N"
"","31964","2200","13","10","12","20","","TK","D","1","","JPUKB","N"
"","31964","2200","13","09","12","20","","GP","D","1","","CNSHA","N"
"","31964","2200","13","13","14","20","","GP","D","3","","CNSHA","N"
"","31964","4200","14","12","90","45","","GP","D","3","","CNSHA","N"
"","31964","3600","14","18","20","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","16","22","40","","GP","D","3","","CNWHI","N"
"","31964","3600","14","16","86","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","14","16","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","12","86","40","","GP","D","3","","CNNTG","N"
"","31964","3600","14","12","88","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","11","16","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","11","18","40","","GP","D","3","","CNSHA","N"
"","31964","4200","14","13","82","45","","GP","D","3","","CNSHA","N"
"","31964","2200","15","16","12","20","","TK","D","1","","CNSHA","N"
"","31963","3600","10","09","86","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","13","90","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","16","20","40","","OT","D","3","","CNSHA","N"
"","31964","4200","14","14","90","45","","GP","D","3","","CNSHA","N"
"","31964","3600","14","18","22","40","","GP","D","3","","JPYOK","N"
"","31962","2200","05","14","18","20","","GP","D","3","","CNSHA","N"
"","31962","2200","07","11","16","20","","GP","D","1","","CNSHA","N"
"","31962","2200","07","14","16","20","","GP","D","1","","CNSHA","N"
"","31962","2200","07","13","16","20","","GP","D","1","","CNSHA","N"
"","31962","2200","07","16","18","20","","GP","D","3","","CNSHA","N"
"","31964","3600","14","16","84","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","11","20","40","","GP","D","1","","CNSHA","N"
"","31964","3600","14","09","16","40","","GP","D","3","","JPNGO","N"
"","31964","3600","14","15","84","40","","GP","D","3","","CNSHA","N"
"","31965","2200","17","09","06","20","","GP","D","1","","CNSHA","N"
"","31965","2200","19","09","08","20","","GP","D","1","","CNLYG","N"
"","31965","2200","19","13","08","20","","GP","D","1","","CNLYG","N"
"","31964","2200","15","17","14","20","","GP","D","1","","CNSHA","N"
"","31965","2200","17","14","08","20","","GP","D","1","","CNSHA","N"
"","31965","2200","17","09","08","20","","GP","D","1","","CNSHA","N"
"","31965","2200","17","13","10","20","","GP","D","1","","CNLYG","N"
"","31965","2200","17","11","08","20","","GP","D","1","","CNSHA","N"
"","31965","2200","17","12","06","20","","GP","D","1","","CNSHA","N"
"","31965","2200","17","12","08","20","","GP","D","1","","CNSHA","N"
"","31965","2200","19","09","04","20","","GP","D","1","","CNSHA","N"
"","31965","2200","19","11","10","20","","GP","D","1","","CNSHA","N"
"","31965","2200","17","10","04","20","","GP","D","1","","CNTCN","N"
"","31965","2200","17","10","06","20","","GP","D","1","","CNSHA","N"
"","31965","3600","18","10","82","40","","GP","D","3","","CNSHA","N"
"","31964","2200","15","10","06","20","","TK","D","1","","JPYOK","N"
"","31965","2200","17","15","12","20","","GP","D","3","","CNSHA","N"
"","31965","2200","17","15","10","20","","GP","D","1","","CNSHA","N"
"","31964","3600","14","12","18","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","10","18","40","","GP","D","1","","CNNKG","N"
"","31964","3600","14","10","84","40","","GP","D","3","","CNSHA","N"
"","31964","2200","13","11","14","20","","GP","D","3","","JPUKB","N"
"","31964","2200","13","09","14","20","","GP","D","3","","CNSHA","N"
"","31964","2200","15","11","08","20","","GP","D","1","","CNSHA","N"
"","31964","2200","15","13","12","20","","GP","D","1","","CNSHA","N"
"","31964","2200","15","14","10","20","","TK","D","1","","CNSHA","N"
"","31964","2200","15","15","14","20","","GP","D","3","","CNSHA","N"
"","31964","2200","15","12","12","20","","GP","D","3","","CNSHA","N"
"","31964","2200","13","14","14","20","","GP","D","3","","CNSHA","N"
"","31964","2200","15","10","08","20","","GP","D","1","","CNSHA","N"
"","31964","2200","13","09","08","20","","GP","D","1","","CNSHA","N"
"","31964","2200","15","12","08","20","","GP","D","1","","JPUKB","N"
"","31964","2200","13","12","14","20","","GP","D","3","","CNSHA","N"
"","31964","2200","13","16","14","20","","GP","D","3","","CNSHA","N"
"","31964","2200","15","14","12","20","","GP","D","3","","CNSHA","N"
"","31964","2200","15","09","08","20","","GP","D","1","","CNSHA","N"
"","31964","2200","15","09","10","20","","GP","D","3","","CNSHA","N"
"","31964","2200","13","18","14","20","","GP","D","3","","CNSHA","N"
"","31963","3600","10","09","82","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","11","84","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","12","86","40","","GP","D","3","","CNWHI","N"
"","31964","3600","14","10","90","40","","GP","D","1","","JPNGO","N"
"","31964","3600","14","09","18","40","","GP","D","3","","XXXXX","N"
"","31964","2200","15","09","12","20","","TK","D","1","","JPYOK","N"
"","31964","2200","13","10","10","20","","TK","D","3","","JPYOK","N"
"","31963","3600","10","14","84","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","16","88","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","09","88","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","16","90","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","12","82","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","12","84","40","","GP","D","3","","JPNGO","N"
"","31963","3600","10","11","82","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","14","90","40","","GP","D","3","","CNSHA","N"
"","31963","3600","10","10","82","40","","GP","D","3","","CNWUH","N"
"","31963","3600","10","10","84","40","","GP","D","3","","JPNGO","N"
"","31963","3600","10","13","82","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","18","82","40","","GP","D","3","","KRPUS","N"
"","31964","3600","14","20","84","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","20","82","40","","GP","D","3","","KRPUS","N"
"","31964","3600","14","18","86","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","14","20","40","","FR","D","3","","CNSHA","N"
"","31964","3600","14","11","82","40","","GP","D","3","","CNNTG","N"
"","31964","2200","15","12","10","20","","TK","D","3","","JPYOK","N"
"","31963","3600","10","12","88","40","","RF","D","3","","CNSHA","N"
"","31963","3600","10","07","82","40","","RF","D","3","","JPMOJ","N"
"","31963","3600","10","07","86","40","","GP","D","3","","CNNKG","N"
"","31963","3600","10","19","84","40","","GP","D","1","","CNSHA","N"
"","31963","3600","10","10","88","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","11","84","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","11","86","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","17","90","40","","GP","D","1","","CNSHA","N"
"","31964","4200","14","09","90","45","","GP","D","3","","CNSHA","N"
"","31964","3600","14","18","84","40","","GP","D","3","","CNSHA","N"
"","31964","3600","14","20","86","40","","GP","D","3","","CNNCG","N"
