"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","36250","3600","26","14","88","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","14","90","40","","OT","D","1","","CNSHA","N"
"","36250","3600","26","14","92","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","15","12","40","","GP","D","1","","CNWUH","N"
"","36250","3600","26","15","14","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","15","16","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","15","18","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","15","20","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","16","14","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","16","16","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","16","18","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","16","20","40","","GP","D","1","","CNTCN","N"
"","36250","3600","26","16","82","40","","GP","D","1","","CNTCN","N"
"","36250","3600","26","11","90","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","11","92","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","12","12","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","12","14","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","12","16","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","12","18","40","","GP","D","1","","CNCGU","N"
"","36250","3600","26","12","20","40","","GP","D","1","","CNTCN","N"
"","36250","3600","26","12","82","40","","GP","D","1","","CNTCN","N"
"","36250","3600","26","12","84","40","","GP","D","1","","CNTCN","N"
"","36250","3600","26","12","86","40","","GP","D","1","","CNTCN","N"
"","36250","3600","26","12","88","40","","GP","D","1","","CNNCG","N"
"","36250","3600","26","12","90","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","12","92","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","19","90","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","20","82","40","","GP","D","1","","CNTCN","N"
"","36250","3600","26","20","84","40","","GP","D","1","","CNTCN","N"
"","36250","2200","25","15","10","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","15","82","20","","RF","D","1","","CNSHA","N"
"","36250","2200","25","15","84","20","","RF","D","1","","CNSHA","N"
"","36250","2200","25","15","86","20","","RF","D","1","","CNSHA","N"
"","36250","2200","25","15","88","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","15","90","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","16","06","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","16","08","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","16","10","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","16","12","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","17","08","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","17","10","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","18","08","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","18","10","20","","GP","D","1","","CNSHA","N"
"","36250","2200","25","18","12","20","","GP","D","1","","CNSHA","N"
"","36250","2200","27","11","08","20","","GP","D","1","","CNSHA","N"
"","36250","2200","27","12","02","20","","GP","D","1","","CNSHA","N"
"","36250","2200","27","12","04","20","","GP","D","1","","JPYOK","N"
"","36250","3600","26","20","92","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","10","90","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","10","92","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","11","10","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","11","12","40","","GP","D","1","","CNSHA","N"
"","36250","3600","26","11","14","40","","GP","D","1","","CNSHA","N"
