"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","33179","3600","58","16","88","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","01","90","40","","GP","D","1","","CNWUH","N"
"","33180","3600","62","03","90","40","","GP","D","1","","CNNTG","N"
"","33182","3600","70","14","90","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","14","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","12","90","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","12","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","10","90","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","10","92","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","08","16","40","","GP","D","1","","CNCZH","N"
"","33184","3600","78","08","82","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","08","84","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","08","86","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","08","88","40","","GP","D","1","","CNSHA","N"
"","33184","4200","78","08","90","45","","GP","D","1","","CNSHA","N"
"","33184","3600","78","06","16","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","06","82","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","06","84","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","06","86","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","06","88","40","","GP","D","1","","CNSHA","N"
"","33184","4200","78","06","90","45","","GP","D","1","","CNSHA","N"
"","33184","3600","78","04","16","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","04","82","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","04","84","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","04","86","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","04","88","40","","GP","D","1","","CNSHA","N"
"","33184","4200","78","04","90","45","","GP","D","1","","CNSHA","N"
"","33184","3600","78","02","16","40","","GP","D","1","","CNNKG","N"
"","33184","3600","78","02","82","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","02","84","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","02","86","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","02","88","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","02","90","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","01","16","40","","GP","D","1","","CNWUH","N"
"","33184","3600","78","01","82","40","","GP","D","1","","CNSHA","N"
"","33180","3500","62","05","90","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","07","88","40","","GP","D","1","","CNNKG","N"
"","33180","3600","62","09","10","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","09","12","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","09","14","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","09","16","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","09","18","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","09","20","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","11","10","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","11","12","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","11","14","40","","GP","D","1","","CNCKG","N"
"","33180","3600","62","11","16","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","11","18","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","06","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","04","92","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","01","84","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","01","86","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","01","88","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","01","90","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","03","16","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","03","82","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","03","84","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","03","86","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","03","88","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","03","90","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","05","16","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","05","82","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","05","84","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","05","86","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","05","88","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","05","90","40","","GP","D","1","","CNNTG","N"
"","33184","3600","78","07","16","40","","GP","D","1","","CNCZH","N"
"","33184","3600","78","07","82","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","07","84","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","07","86","40","","GP","D","1","","CNSHA","N"
"","33184","3600","78","07","88","40","","GP","D","1","","JPNGO","N"
"","33184","3600","78","07","90","40","","GP","D","1","","CNSHA","N"
"","33184","4200","78","07","92","45","","GP","D","1","","CNSHA","N"
"","33180","3600","62","11","20","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","13","08","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","13","10","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","13","12","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","13","14","40","","GP","D","1","","XXXXX","N"
"","33180","3600","62","13","16","40","","GP","D","1","","JPYOK","N"
"","33180","3600","62","13","18","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","13","20","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","13","82","40","","GP","D","1","","CNWUH","N"
"","33180","3600","62","15","08","40","","GP","D","1","","JPTYO","N"
"","33180","3600","62","15","10","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","15","12","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","15","14","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","15","16","40","","GP","D","1","","JPYOK","N"
"","33180","3600","62","15","18","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","15","20","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","17","04","40","","GP","D","1","","JPTYO","N"
"","33180","3600","62","17","06","40","","GP","D","1","","JPTYO","N"
"","33180","3600","62","17","08","40","","GP","D","1","","JPTYO","N"
"","33180","3600","62","17","10","40","","GP","D","1","","XXXXX","N"
"","33180","3600","62","17","12","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","17","14","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","17","16","40","","GP","D","1","","JPYOK","N"
"","33180","3600","62","17","18","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","17","20","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","19","82","40","","GP","D","1","","CNSHA","N"
"","33180","3600","62","19","84","40","","GP","D","1","","CNSHA","N"
"","33180","2200","63","16","04","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","16","06","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","14","02","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","14","04","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","14","06","20","","GP","D","1","","KRPUS","N"
"","33180","2200","63","12","02","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","12","04","20","","GP","D","1","","CNCKG","N"
"","33182","3600","70","03","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","05","92","40","","GP","D","1","","CNSHA","N"
"","33180","2200","63","12","06","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","12","08","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","12","82","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","12","84","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","12","86","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","10","02","20","","GP","D","1","","CNYZH","N"
"","33180","2200","63","10","04","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","10","06","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","10","08","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","10","82","20","","GP","D","1","","CNKUS","N"
"","33180","2200","63","10","84","20","","GP","D","1","","CNKUS","N"
"","33180","2200","63","10","86","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","10","88","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","09","02","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","09","04","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","09","06","20","","GP","D","1","","CNNTG","N"
"","33180","2200","63","09","08","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","09","82","20","","RF","D","1","","CNSHA","N"
"","33180","2200","63","09","84","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","09","86","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","09","88","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","11","02","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","11","04","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","11","06","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","11","08","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","03","12","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","08","12","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","08","14","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","06","12","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","06","14","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","04","10","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","04","12","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","04","14","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","02","10","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","02","12","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","02","14","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","01","10","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","01","12","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","01","14","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","03","10","20","","GP","D","1","","CNSHA","N"
"","33179","3600","58","14","08","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","14","10","40","","GP","D","1","","CNZJG","N"
"","33179","3600","58","14","82","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","14","84","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","14","86","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","14","88","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","12","08","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","12","10","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","12","82","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","12","84","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","12","86","40","","RF","D","1","","CNSHA","N"
"","33180","2200","63","11","82","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","11","84","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","11","86","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","13","02","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","13","04","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","13","06","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","15","04","20","","GP","D","1","","CNSHA","N"
"","33180","2200","63","15","06","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","08","02","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","08","04","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","08","06","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","08","08","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","06","02","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","06","04","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","06","06","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","06","08","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","04","02","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","04","04","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","04","06","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","04","08","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","02","02","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","02","04","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","02","06","20","","GP","D","1","","CNLYG","N"
"","33181","2200","65","02","08","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","02","82","20","","RF","D","1","","CNSHA","N"
"","33181","2200","65","02","84","20","","RF","D","1","","CNSHA","N"
"","33181","2200","65","02","86","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","02","88","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","02","90","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","02","92","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","01","02","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","01","04","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","01","06","20","","GP","D","1","","CNLYG","N"
"","33181","2200","65","01","08","20","","GP","D","1","","CNSHA","N"
"","33182","3600","70","07","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","13","90","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","13","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","09","90","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","09","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","11","90","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","11","92","40","","GP","D","1","","CNSHA","N"
"","33184","2200","79","03","14","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","05","12","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","05","14","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","07","12","20","","GP","D","1","","CNSHA","N"
"","33184","2200","79","07","14","20","","GP","D","1","","CNSHA","N"
"","33179","3600","58","12","88","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","10","08","40","","GP","D","1","","CNZJG","N"
"","33179","3600","58","10","10","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","10","82","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","10","84","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","10","86","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","10","88","40","","GP","D","1","","CNSHA","N"
"","33181","2200","65","01","82","20","","RF","D","1","","CNSHA","N"
"","33181","2200","65","01","84","20","","RF","D","1","","CNSHA","N"
"","33181","2200","65","01","86","20","","RF","D","1","","CNSHA","N"
"","33181","2200","65","01","88","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","01","90","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","01","92","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","03","02","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","03","04","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","03","06","20","","GP","D","1","","CNNKG","N"
"","33181","2200","65","03","08","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","03","82","20","","RF","D","1","","CNSHA","N"
"","33181","2200","65","03","84","20","","RF","D","1","","CNSHA","N"
"","33181","2200","65","03","86","20","","RF","D","1","","CNSHA","N"
"","33181","2200","65","03","88","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","03","90","20","","GP","D","1","","CNCKG","N"
"","33181","2200","65","03","92","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","05","02","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","05","04","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","05","06","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","05","08","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","07","02","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","07","04","20","","GP","D","1","","JPYOK","N"
"","33181","2200","65","07","06","20","","GP","D","1","","CNSHA","N"
"","33181","2200","65","07","08","20","","GP","D","1","","CNSHA","N"
"","33182","3600","70","15","90","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","15","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","17","90","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","17","92","40","","GP","D","1","","CNSHA","N"
"","33182","3600","70","19","90","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","09","08","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","09","10","40","","GP","D","1","","CNSHA","N"
"","33179","3600","58","09","82","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","09","84","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","09","86","40","","RF","D","1","","CNSHA","N"
"","33179","3600","58","09","88","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","10","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","12","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","14","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","16","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","18","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","20","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","22","40","","GP","D","1","","CNCKG","N"
"","33181","3600","66","08","82","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","84","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","86","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","88","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","90","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","08","92","40","","GP","D","1","","CNSHA","N"
"","33181","3600","66","06","10","40","","GP","D","1","","CNSHA","N"
