"IYCCNTRNO","IYCCNTRAREAID","IYCIVOYID","IYCEVOYID","IYCCTYPECD","IYCCSZCSIZECD","IYCPOTDSTPORT","IYCWEIGHT","IYCDNGFG","IYCREFFG","IYCYLOCATION","IYCPLANFG"
"MSKU6676940","A3","","195397","GP","40","USSAV","23295","","","A35822","Y"
"MSKU1621353","B3","","195397","GP","40","USMIA","9854","","","B32643","N"
"MEDU4221872","A3","","195397","GP","40","USSAV","23300","","","A35824","Y"
"CXDU2154095","B5","","195397","GP","40","USCHS","13966","","","B55461","N"
"MSKU0558019","A3","","195397","GP","40","USSAV","7860","","","A35034","N"
"MSCU9672743","B2","","195397","GP","40","USCHS","13324","","","B25051","N"
"MEDU3120872","A3","","195397","GP","20","USSAV","7994","","","A34731","Y"
"MRKU5661115","5A","","195397","GP","40","USSAV","14823","","","5A0211","N"
"MSKU4629527","99","","195397","GP","45","USJAX","7738","","","995841","Y"
"MRKU6065023","A2","","195397","GP","40","USCHS","8500","","","A22225","N"
"MRKU4894180","A3","","195397","GP","40","USSAV","11010","","","A35014","N"
"TTNU4806306","A2","","195397","GP","40","USCHS","7828","","","A22243","N"
"MRKU2296641","A3","","195397","GP","40","USSAV","14858","","","A35445","N"
"PONU1657720","B3","","195397","GP","40","USMIA","9918","","","B32633","N"
"MSCU9377199","B2","","195397","GP","40","USSAV","22936","","","B23861","N"
"CLHU8387840","A2","","195397","GP","40","USCHS","20026","","","A22211","N"
"MEDU4078020","A3","","195397","GP","40","USSAV","23300","","","A35851","Y"
"LCRU4540627","66","195658","195397","GP","40","USCHS","12639","","","665861",""
"MSKU6192987","B2","","195397","GP","40","USSAV","21800","","","B23825","N"
"GLDU5136855","B3","","195397","GP","20","USMIA","16413","","","B31154","N"
"MRKU3867560","A3","","195397","GP","40","USSAV","17435","","","A35833","N"
"CAIU2758054","A3","","195397","GP","20","USCHS","9627","","","A34525","N"
"MSCU7254554","B2","","195397","GP","40","USSAV","22522","","","B23863","N"
"GLDU7388706","B2","","195397","GP","40","USSAV","11080","","","B23834","N"
"MSKU7431237","A2","","195397","GP","20","USCHS","5175","","","A23311","N"
"CLHU4651893","A2","","195397","GP","40","USCHS","20102","","","A23042","N"
"MSKU4799550","99","","195397","GP","45","USJAX","8715","","","994631","Y"
"MSCU5941401","A3","","195397","GP","40","USSAV","27366","","","A35421","Y"
"MRKU8429130","B3","","195397","GP","20","USMIA","8773","","","B31114","N"
"TRLU4814893","A3","","195397","GP","40","USCHS","8070","","","A34223","N"
"MEDU1324286","A3","","195397","GP","20","USCHS","19922","","","A34511","N"
"MSKU1125060","75","195866","195397","GP","40","USJAX","13109","","","754612",""
"TTNU4691378","B2","","195397","GP","40","USSAV","26280","","","B23823","N"
"PONU7587214","11","195747","195397","GP","40","USJAX","8644","","","110851","N"
"CAXU8137858","75","195730","195397","GP","40","USMIA","24018","","","754253",""
"TRLU8239200","75","195730","195397","GP","40","USMIA","24087","","","753432",""
"MSKU9698048","75","","195397","GP","40","USSAV","7560","","","750641",""
"MRKU7032852","70","195730","195397","GP","20","USJAX","18674","","","700742",""
"UXXU4300642","87","","195397","GP","40","USSAV","14169","","","877441","N"
"MSKU8856621","30","195747","195397","GP","40","USJAX","8644","","","303412","N"
"PONU1886080","B2","","195397","GP","40","USSAV","7494","","","B23854","N"
"TGHU7467268","B3","","195397","GP","40","USJAX","23000","","","B30612","N"
"CLHU4559494","B3","","195397","GP","40","USJAX","13975","","","B30634","N"
"MSCU4640980","B3","","195397","GP","40","USJAX","13975","","","B30241","N"
"MSKU3207933","A3","","195397","GP","20","USSAV","10500","","","A34732","Y"
"MRKU5759009","10","195805","195397","GP","40","USSAV","8644","","","101834","N"
"TTNU4015141","5A","","195397","GP","40","USSAV","25673","","","5A0241","Y"
"MRKU6962371","62","195906","195397","GP","20","USSAV","19393","","","620531","Y"
"MRKU3362244","74","195251","195397","HC","40","USSAV","12600","","","746834",""
"MIEU0009594","77","195251","195397","HC","40","USSAV","12600","","","774651",""
"MIEU0015236","76","195251","195397","HC","40","USSAV","12600","","","760613",""
"MSKU1293573","76","195251","195397","HC","40","USSAV","12600","","","760612",""
"MSCU3380003","63","195589","195397","GP","20","USSAV","20594","","","632361","Y"
"MRKU5270450","55","195512","195397","HC","40","USSAV","12600","","","554661",""
"MRKU0733784","B2","","195397","GP","40","USSAV","11966","","","B24251","Y"
"MRKU2092397","5C","","195397","GP","40","USCHS","16800","","","5C7031","N"
"MRKU0383270","53","","195397","GP","40","USJAX","8300","","","530613","N"
"MRKU2216800","A0","195306","195397","HC","40","USCHS","8800","","","A07241",""
"MSKU0916112","B0","195306","195397","HC","40","USCHS","8800","","","B01041",""
"MSKU1780669","B0","195306","195397","HC","40","USCHS","8800","","","B00223",""
"MSKU1984575","B0","195306","195397","HC","40","USCHS","8800","","","B06612",""
"MSKU8104774","81","195306","195397","HC","40","USCHS","8800","","","812834",""
"MSKU9966367","B0","195306","195397","HC","40","USCHS","8800","","","B00222",""
"MSKU9522300","81","195306","195397","HC","40","USSAV","10515","","","812051",""
"PONU8085801","A1","195306","195397","HC","40","USSAV","11580","","","A12241",""
"MRKU2436682","5A","","195397","GP","40","USSAV","14832","","","5A0221","N"
"PONU1868261","A3","","195397","GP","40","USSAV","11003","","","A35041","N"
"PONU7971364","63","195512","195397","HC","40","USSAV","12600","","","636652",""
"MRKU2007179","63","195512","195397","HC","40","USSAV","12600","","","634222",""
"CAXU7142320","A2","","195397","GP","40","USCHS","8226","","","A22242","N"
"MSCU5857538","B3","","195397","GP","40","USMIA","13975","","","B32634","N"
"MRKU3144833","30","195747","195397","GP","40","USSAV","8043","","","303444","N"
"MSKU0344300","20","","195397","GP","40","USCHS","23624","","","201641","N"
"MRKU4522809","20","","195397","GP","40","USCHS","26772","","","204611","N"
"PONU7284856","66","195512","195397","HC","40","USSAV","12600","","","663022",""
"TCNU7678084","A0","195512","195397","HC","40","USSAV","12600","","","A03421",""
"MRKU2703705","61","195512","195397","HC","40","USSAV","10530","","","611032",""
"MSKU0505791","A0","195512","195397","HC","40","USSAV","10530","","","A05243",""
"PONU7904221","B0","195306","195397","HC","40","USCHS","8800","","","B02821",""
"MRKU3995319","74","195572","195397","HC","40","USCHS","6932","","","744833",""
"MIEU2008004","A3","","195397","GP","40","USSAV","10200","","","A35013","N"
"MSCU5703511","B3","","195397","GP","40","USMIA","23080","","","B32625","N"
"PONU7824912","A1","","195397","GP","40","USSAV","17643","","","A11423","Y"
"MRKU9241044","B3","","195397","GP","20","USMIA","19000","","","B32313","N"
"MSKU0142886","A3","","195397","GP","40","USSAV","9776","","","A35033","N"
"GLDU7330411","B3","","195397","GP","40","USJAX","8862","","","B30643","N"
"MSKU0628991","A2","","195397","GP","40","USCHS","13321","","","A23013","N"
"MRKU4508288","20","","195397","GP","40","USCHS","9790","","","204222","N"
"CAXU9781696","A3","","195397","GP","40","USCHS","12064","","","A33844","N"
"MSKU0716351","B2","","195397","GP","40","USSAV","19989","","","B24241","N"
"CLHU9015889","B2","","195397","GP","40","USCHS","15232","","","B25021","N"
"MSKU3159780","21","195191","195397","GP","20","USSAV","6599","","","214541","Y"
"CAIU2400292","76","195448","195397","GP","20","USSAV","11230","","","763151","Y"
"MRKU6565477","76","195448","195397","GP","20","USSAV","19930","","","764161","Y"
"MSKU7835429","52","195448","195397","GP","20","USSAV","20370","","","524951","Y"
"AMFU8610699","20","195654","195397","GP","40","USJAX","8043","","","205852","N"
"MSKU6957504","A3","","195397","GP","40","USCHS","23719","","","A33821","N"
"MRKU0880635","53","","195397","GP","40","USJAX","8100","","","530614","N"
"MRKU5545408","53","","195397","GP","40","USCHS","17000","","","530212","N"
"PONU0202199","A3","","195397","GP","20","USCHS","6668","","","A34522","N"
"MSKU3478766","B3","","195397","GP","20","USJAX","12380","","","B30921","N"
"TTNU5724286","A2","","195397","GP","40","USCHS","23535","","","A23041","N"
"MRKU4371596","20","","195397","GP","40","USCHS","25799","","","201642","N"
"MEDU4296470","A3","","195397","GP","40","USSAV","9720","","","A35042","N"
"MSCU5627936","A3","","195397","GP","40","USCHS","7870","","","A33812","N"
"MSKU4221350","A3","","195397","GP","20","USSAV","12598","","","A34723","Y"
"MSCU8702592","B3","","195397","GP","40","USJAX","10056","","","B30663","N"
"GVCU4007926","A2","","195397","GP","40","USMIA","28576","","","A21853","N"
"PONU1899452","B3","","195397","GP","40","USJAX","21790","","","B30653","N"
"MSKU9896742","B3","195751","195397","GP","40","USSAV","12840","","","B33431",""
"MRKU5690638","B3","195751","195397","GP","40","USSAV","12600","","","B33433",""
"GATU0689901","A3","","195397","GP","20","USSAV","11151","","","A34724","Y"
"PONU1658795","A3","","195397","GP","40","USSAV","11966","","","A35435","N"
"MNBU3058550","A3","","195397","RF","40","USSAV","29950","","","A35813","Y"
"PONU0548406","41","195756","195397","GP","20","USCHS","22049","","","415332",""
"TCNU6568499","A3","","195397","GP","40","USCHS","24300","","","A34234","N"
"TCLU7863300","72","195518","195397","GP","40","USCHS","28328","","","724832",""
"TGHU8551814","62","195518","195397","GP","40","USCHS","28269","","","627011",""
"MRKU3999633","B2","","195397","GP","40","USCHS","12805","","","B25045","N"
"PONU7420103","B2","","195397","GP","40","USSAV","7660","","","B23845","N"
"MSKU0043271","5A","","195397","GP","40","USSAV","14823","","","5A0212","N"
"MRKU5464991","B2","","195397","GP","40","USCHS","9036","","","B25052","N"
"MNBU0183055","A3","","195397","RF","40","USSAV","28700","","","A35831","N"
"MSKU5230130","A2","","195397","GP","20","USCHS","20211","","","A23344","N"
"PONU7239712","B2","","195397","GP","40","USSAV","6612","","","B23841","N"
"TRLU0247678","4A","","195397","TK","20","USCHS","24000","","","4A0141","N"
"CAXU9026530","B2","","195397","GP","40","USSAV","11966","","","B24212","N"
"MSKU6615456","A2","","195397","GP","40","USCHS","20624","","","A22232","N"
"CAIU3079593","B3","","195397","GP","20","USMIA","17516","","","B31153","N"
"MRKU3205311","A3","","195397","GP","40","USSAV","13802","","","A35843","N"
"TGHU4792583","B2","","195397","GP","40","USSAV","23300","","","B23824","N"
"MSCU9977260","B2","","195397","GP","40","USSAV","14936","","","B24211","N"
